timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784708055.7532,1539203072,7908114432,781295616,774814000,,,0,0
1784708056.754,1610493952,7952351232,782106624,774958592,,,0,0
1784708057.7544,1615151104,7954477056,782196736,775062816,,,0,0
1784708058.7558,1610498048,7955017728,782209024,775073312,,,0,0
1784708059.7562,1582891008,7910780928,781414400,774838776,,,0,0
1784708060.7571,1615142912,7952793600,782131200,775002992,,,0,0
1784708061.7576,1610493952,7955021824,782233600,775070040,,,0,0
1784708062.758,1575002112,7910785024,781582336,774863608,,,0,0
1784708063.7588,1610493952,7955021824,782180352,775062032,,,0,0
1784708064.7602,1610489856,7955021824,782196736,775055144,,,0,0
1784708065.761,1615069184,7954292736,782204928,775044584,,,0,0
1784708066.762,1610510336,7955025920,782176256,775052360,,,0,0
1784708067.7627,1586008064,7910789120,781414400,774840592,,,0,0
1784708068.763,1615155200,7953784832,782155776,775031128,,,0,0
1784708069.7635,1611317248,7955025920,782536704,775131296,,,0,0
1784708070.7642,1580957696,7910789120,781418496,774839800,,,0,0
1784708071.7649,1615163392,7954591744,782192640,775062480,,,0,0
1784708072.7654,1610506240,7955030016,782168064,775054576,,,0,0
1784708073.7661,1574481920,7910793216,781410304,774845496,,,0,0
1784708074.7675,1610514432,7955030016,782200832,775085720,,,0,0
1784708075.7679,1611689984,7954964480,782143488,775052840,,,0,0
1784708076.7685,1615159296,7954259968,782168064,775050008,,,0,0
1784708077.7694,1610436608,7955030016,782188544,775072656,,,0,0
1784708078.7706,1586089984,7910793216,781426688,774847104,,,0,0
1784708079.7712,1615171584,7953465344,782159872,775039360,,,0,0
1784708080.7723,1610518528,7955030016,782200832,775095728,,,0,0
1784708081.7727,1576894464,7910793216,781414400,774864832,,,0,0
1784708082.7736,1610522624,7955034112,782192640,775081312,,,0,0
1784708083.7747,1610522624,7955034112,782196736,775063416,,,0,0
1784708084.7758,1615179776,7954731008,782196736,775073216,,,0,0
1784708085.7768,1610526720,7955034112,782221312,775091232,,,0,0
1784708086.7783,1583652864,7910797312,781430784,774867984,,,0,0
1784708087.7787,1615179776,7954976768,782204928,775087648,,,0,0
1784708088.7793,1612005376,7955038208,782516224,775251992,,,0,0
1784708089.7797,1571098624,7919636480,781451264,774998976,,,0,0
1784708090.7802,1610440704,7955038208,782311424,775114280,,,0,0
1784708091.7811,1584779264,7910801408,781422592,774844000,,,0,0
1784708092.7821,1615175680,7953022976,782143488,775003504,,,0,0
1784708093.7833,1610522624,7955038208,782209024,775069192,,,0,0
1784708094.7837,1573683200,7910801408,781471744,774892312,,,0,0
1784708095.7844,1610530816,7955038208,782225408,775061736,,,0,0
