cpu_mode,benchmark,governor,energy_delta,latency_delta,power_delta,valid_runs,sm_active_default
CPU 3354 MHz,babelstream,ondemand,19.932869941844356,0.6707994985339694,20.388977532450745,10,94.56450000000001
CPU 3354 MHz,babelstream,powersave,-31.18468791992831,23.38892835439421,-65.49010306610892,10,94.56450000000001
CPU 3354 MHz,babelstream,performance,17.114377125847003,-0.11332460217371443,17.26249514856182,10,94.56450000000001
CPU 3354 MHz,backprop,ondemand,-48.86029215472153,4.239485849588442,-50.97869057950053,10,0.8334999999999999
CPU 3354 MHz,backprop,powersave,-48.24967517641434,3.4971999849663593,-50.50139812939929,10,0.8334999999999999
CPU 3354 MHz,backprop,performance,52.6340770937521,2.514375916112277,46.60592035483562,10,0.8334999999999999
CPU 3354 MHz,bfs,ondemand,-36.593172775050974,1.6679586886393594,-38.78469617404351,10,0.39549999999999996
CPU 3354 MHz,bfs,powersave,-34.09914461570228,1.5979394333441643,-36.32783195798951,10,0.39549999999999996
CPU 3354 MHz,bfs,performance,95.93847664685802,0.5784924187484775,89.35983995999,10,0.39549999999999996
CPU 3354 MHz,bh,ondemand,-1.387069344516556,0.5429995644388397,-1.6492078607912797,10,90.4845
CPU 3354 MHz,bh,powersave,94.55926006523032,828.5050573488844,-83.03754364701469,10,90.4845
CPU 3354 MHz,bh,performance,-2.623887421054605,-0.2032618690412935,-2.359103107956051,10,90.4845
CPU 3354 MHz,cfd,ondemand,-13.882963999172325,1.9415741044042756,-15.178691941990719,10,35.676
CPU 3354 MHz,cfd,powersave,-30.755604522164393,198.52893004973043,-77.55515229682509,10,35.676
CPU 3354 MHz,cfd,performance,4.992065642035959,0.3007653137190536,4.409184300904334,10,35.676
CPU 3354 MHz,fft,ondemand,-2.1041903846901855,1.7180957881059111,-4.555064385931217,10,77.059
CPU 3354 MHz,fft,powersave,79.05448598674194,860.6058617385711,-82.63132216620589,10,77.059
CPU 3354 MHz,fft,performance,-1.101087972931225,-0.03675071204505276,-0.9107171897869804,10,77.059
CPU 3354 MHz,gaussian,ondemand,-13.086488194393409,6.348544888356833,-22.317270702571367,10,6.445
CPU 3354 MHz,gaussian,powersave,-26.97152248334901,22.26915587613558,-43.16663292164405,10,6.445
CPU 3354 MHz,gaussian,performance,102.60910493957462,3.433775562004193,80.54768171694673,10,6.445
CPU 3354 MHz,gemmEx,ondemand,-0.946936491199668,0.8432822337424151,-0.9111728304828759,10,91.491
CPU 3354 MHz,gemmEx,powersave,nan,-100.0,-81.54103526125161,0,91.491
CPU 3354 MHz,gemmEx,performance,0.25155996803531977,0.1982251810259683,0.5424807939060194,10,91.491
CPU 3354 MHz,heartwall,ondemand,-8.339214675578477,8.688245315161858,-15.885427733627965,10,55.785
CPU 3354 MHz,heartwall,powersave,21.854818103998895,596.6609880749573,-82.63142237898941,10,55.785
CPU 3354 MHz,heartwall,performance,3.4805154348178213,1.243611584327109,2.46625019477853,10,55.785
CPU 3354 MHz,hotspot,ondemand,0.17584036923408153,2.166950596252115,-1.9349082256968186,10,51.473
CPU 3354 MHz,hotspot,powersave,-15.452843944045325,512.5349233390119,-86.46244051665533,10,51.473
CPU 3354 MHz,hotspot,performance,1.491504207933625,-0.9028960817717202,2.580727396329019,10,51.473
CPU 3354 MHz,hybridsort,ondemand,-40.739707474438966,2.690316837558937,-40.38634084551644,10,0.956
CPU 3354 MHz,hybridsort,powersave,-45.69544116302192,2.44210308171271,-45.63255396632713,10,0.956
CPU 3354 MHz,hybridsort,performance,73.5083917065336,0.14742107320655506,73.49976249538186,10,0.956
CPU 3354 MHz,ising,ondemand,10.977194242446808,0.7907858912784116,10.76834840820624,10,87.601
CPU 3354 MHz,ising,powersave,-3.795929986825697,339.1803562870283,-83.90342052313883,10,87.601
