benchmark,size,governor,powersave_status,performance_status,powersave_latency_sec,performance_latency_sec,performance_vs_powersave_latency_pct,powersave_gpu_edp,performance_gpu_edp,performance_vs_powersave_gpu_edp_pct,valid_edp_pair,powersave_cpu_time_sec,performance_cpu_time_sec,performance_vs_powersave_cpu_time_pct
babelstream-cuda,large,gpu_default,valid,valid,52.2474,39.99995,-23.441262148929898,62326.638843153836,61742.87625035171,-0.9366181196954648,True,0.2493,0.26344999999999996,5.6758924989971815
babelstream-cuda,large,gpu_ondemand,valid,valid,52.629949999999994,40.0004,-23.996887703674417,76765.61211709311,74837.87312522225,-2.5112012250099958,True,0.25995,0.28705,10.425081746489706
babelstream-cuda,large,gpu_powersave,valid,valid,65.82050000000001,60.00005,-8.842913681907627,33369.4683487773,33758.923116212805,1.1670991079777648,True,0.27559999999999996,0.29105000000000003,5.605950653120484
babelstream-cuda,large,gpu_performance,valid,valid,52.152950000000004,39.99995,-23.30261279563286,74194.66414676799,74821.1079179237,0.8443245594002668,True,0.25229999999999997,0.2599,3.0122869599683133
backprop-cuda,large,gpu_default,valid,valid,2.4981,2.4989,0.032024338497249616,1.0029500000000001e-07,9.952000000000001e-08,-0.7727204745999305,True,2.4495,2.48895,1.6105327617881304
backprop-cuda,large,gpu_ondemand,valid,valid,2.5452,2.552,0.26716957410026776,4.796e-08,4.897e-08,2.1059216013344484,True,2.47065,2.4966,1.0503308845850157
backprop-cuda,large,gpu_powersave,valid,valid,2.5608,2.49895,-2.415260855982515,4.9764999999999996e-08,4.9074999999999994e-08,-1.3865166281523233,True,2.4866,2.4584,-1.1340786616263143
backprop-cuda,large,gpu_performance,valid,valid,2.50235,2.49855,-0.15185725418107587,1.5462500000000002e-07,1.4698e-07,-4.944219886822965,True,2.45255,2.4818,1.1926362357546072
bfs-cuda,large,gpu_default,valid,valid,5.8232,5.7136,-1.882126665750794,0.004016028775,0.003990241500000001,-0.6421088205474712,True,5.78365,5.7692499999999995,-0.2489777216809541
bfs-cuda,large,gpu_ondemand,valid,valid,5.90935,5.7138,-3.309162598255311,0.015930236300000004,0.016391147024999997,2.8933075211194037,True,5.8255,5.813750000000001,-0.20169942494204784
bfs-cuda,large,gpu_powersave,valid,valid,5.8663,5.7137,-2.601298944820407,0.016386816155000004,0.01632310956,-0.38876737492758995,True,5.78245,5.8042,0.3761381421369725
bfs-cuda,large,gpu_performance,valid,valid,5.80525,5.7138,-1.5752982214374933,0.0085391982,0.008038300785,-5.865860040583204,True,5.765700000000001,5.78255,0.2922455209254604
bh-cuda,large,gpu_default,valid,valid,5.0232,4.9993,-0.47579232361841806,832.9275512489751,828.4468412056,-0.537947152385132,True,0.12505,0.13124999999999998,4.958016793282671
bh-cuda,large,gpu_ondemand,valid,valid,5.05865,4.9994,-1.1712611072124068,829.6346843077401,822.4887735116599,-0.8613322141953206,True,0.14315,0.13724999999999998,-4.121550820817332
bh-cuda,large,gpu_powersave,valid,valid,47.854749999999996,39.99975,-16.414253548498316,12713.147615353455,12770.479953371061,0.45096886901845323,True,0.13505,0.13595000000000002,0.666419844502042
bh-cuda,large,gpu_performance,valid,valid,5.0526,4.99925,-1.0558920159917662,853.8239131826801,824.9363286851449,-3.3833187442426027,True,0.13265,0.129,-2.7516019600452246
cfd-cuda,large,gpu_default,valid,valid,1.61505,1.621,0.3684096467601483,12.179171161840001,10.938595617935,-10.186042444267429,True,0.9923,1.01215,2.000403103900039
cfd-cuda,large,gpu_ondemand,valid,valid,1.6792,1.6661,-0.7801333968556534,12.482676896759997,12.504750584719998,0.17683456956039123,True,0.9943,0.9836,-1.0761339635924738
