cpu_mode,benchmark,size,governor,n_runs,n_valid_edp,n_censored,n_zero_gpu_time,status,median_gpu_edp,median_gpu_time_sec,median_power_draw_w,median_launch_latency_sec,median_cpu_time_sec,median_memcpy_time_sec,gpu_edp_change_vs_default_pct,latency_change_vs_default_pct,latency_constraint_pass,valid_edp_comparison
cpu_performance,babelstream-cuda,large,gpu_default,10,10,0,0,valid,61742.87625035171,51.89445,22.930500000000002,39.99995,0.26344999999999996,0.0056,0.0,0.0,True,True
cpu_performance,babelstream-cuda,large,gpu_ondemand,10,10,0,0,valid,74837.87312522225,52.369550000000004,27.29,40.0004,0.28705,0.0056,21.208919425414607,0.001125001406254711,True,True
cpu_performance,babelstream-cuda,large,gpu_performance,10,10,0,0,valid,74821.1079179237,51.89085,27.790999999999997,39.99995,0.2599,0.0056,21.181766159618288,0.0,True,True
cpu_performance,babelstream-cuda,large,gpu_powersave,10,10,0,0,valid,33758.923116212805,65.51419999999999,7.840999999999999,60.00005,0.29105000000000003,0.008150000000000001,-45.323371429395465,50.000312500390635,False,True
cpu_performance,backprop-cuda,large,gpu_default,10,10,0,0,valid,9.952000000000001e-08,0.0001,9.952,2.4989,2.48895,0.05025,0.0,0.0,True,True
cpu_performance,backprop-cuda,large,gpu_ondemand,10,10,0,0,valid,4.897e-08,0.0001,4.897,2.552,2.4966,0.0742,-50.79381028938907,2.1249349713874155,True,True
cpu_performance,backprop-cuda,large,gpu_performance,10,10,0,0,valid,1.4698e-07,0.0001,14.698,2.49855,2.4818,0.05045,47.688906752411576,-0.01400616271159949,True,True
cpu_performance,backprop-cuda,large,gpu_powersave,10,10,0,0,valid,4.9074999999999994e-08,0.0001,4.9075,2.49895,2.4584,0.0742,-50.68830385852091,0.002000880387376114,True,True
cpu_performance,bfs-cuda,large,gpu_default,10,10,0,0,valid,0.003990241500000001,0.0233,7.3195,5.7136,5.7692499999999995,0.016050000000000002,0.0,0.0,True,True
cpu_performance,bfs-cuda,large,gpu_ondemand,10,10,0,0,valid,0.016391147024999997,0.0583,4.8225,5.7138,5.813750000000001,0.0257,310.7808267995807,0.0035004200504173966,True,True
cpu_performance,bfs-cuda,large,gpu_performance,10,10,0,0,valid,0.008038300785,0.0233,14.8085,5.7138,5.78255,0.0166,101.44897959183669,0.0035004200504173966,True,True
cpu_performance,bfs-cuda,large,gpu_powersave,10,10,0,0,valid,0.01632310956,0.0583,4.819000000000001,5.7137,5.8042,0.0257,309.07573037872515,0.0017502100252198005,True,True
cpu_performance,bh-cuda,large,gpu_default,10,10,0,0,valid,828.4468412056,4.89725,34.555,4.9993,0.13124999999999998,0.0005,0.0,0.0,True,True
cpu_performance,bh-cuda,large,gpu_ondemand,10,10,0,0,valid,822.4887735116599,4.9188,33.9835,4.9994,0.13724999999999998,0.0005,-0.719185275094969,0.002000280039204938,True,True
cpu_performance,bh-cuda,large,gpu_performance,10,10,0,0,valid,824.9363286851449,4.892099999999999,34.4705,4.99925,0.129,0.0005,-0.4237462617814325,-0.001000140019602469,True,True
cpu_performance,bh-cuda,large,gpu_powersave,10,10,0,0,valid,12770.479953371061,47.71365,5.612,39.99975,0.13595000000000002,0.0007,1441.4966076503808,700.1070149820976,False,True
cpu_performance,cfd-cuda,large,gpu_default,10,10,0,0,valid,10.938595617935,0.61935,28.496000000000002,1.621,1.01215,0.0093,0.0,0.0,True,True
cpu_performance,cfd-cuda,large,gpu_ondemand,10,10,0,0,valid,12.504750584719998,0.6773499999999999,27.164,1.6661,0.9836,0.0093,14.317696909986498,2.7822331893892605,True,True
cpu_performance,cfd-cuda,large,gpu_performance,10,10,0,0,valid,13.684299855214999,0.6157,36.143,1.5888499999999999,0.9747,0.0093,25.101067204441875,-1.9833436150524464,True,True
cpu_performance,cfd-cuda,large,gpu_powersave,10,10,0,0,valid,108.12333688222,3.84775,7.297,4.79945,1.10825,0.0097,888.457208390995,196.0795805058606,False,True
cpu_performance,fft-cuda,large,gpu_default,10,10,0,0,valid,328.09639361427503,3.0772000000000004,34.643,3.6357,0.5638000000000001,0.02255,0.0,0.0,True,True
cpu_performance,fft-cuda,large,gpu_ondemand,10,10,0,0,valid,319.04241422514,3.1121,32.9495,3.6358,0.5702499999999999,0.0222,-2.7595485855230972,0.0027505019666085317,True,True
cpu_performance,fft-cuda,large,gpu_performance,10,10,0,0,valid,323.735087705755,3.05925,34.593,3.63575,0.56325,0.02205,-1.3292757840085767,0.0013752509832931636,True,True
cpu_performance,fft-cuda,large,gpu_powersave,10,10,0,0,valid,7236.956529416315,35.8103,5.6434999999999995,29.99975,0.5789500000000001,0.032,2105.7409560936558,725.1437137277552,False,True
cpu_performance,gaussian-cuda,large,gpu_default,10,10,0,0,valid,6.794203072155,0.8492,9.396,13.33285,12.592949999999998,0.011349999999999999,0.0,0.0,True,True
cpu_performance,gaussian-cuda,large,gpu_ondemand,10,10,0,0,valid,11.870388240899999,1.2694999999999999,7.337,13.3331,12.3965,0.01405,74.71347433739457,0.0018750679712020712,True,True
cpu_performance,gaussian-cuda,large,gpu_performance,10,10,0,0,valid,12.39923181328,0.84535,17.423000000000002,11.9998,12.387550000000001,0.01115,82.4972212575799,-9.998237436107061,True,True
cpu_performance,gaussian-cuda,large,gpu_powersave,10,10,0,0,valid,63.946741688660005,3.45155,5.3675,14.99955,12.36225,0.0162,841.1956194058421,12.50070315048919,False,True
cpu_performance,gemmEx-cuda,large,gpu_default,10,0,0,10,instrumentation_limited,,0.0,30.5355,23.999850000000002,28.67225,0.0,,0.0,True,False
cpu_performance,gemmEx-cuda,large,gpu_ondemand,10,0,0,10,instrumentation_limited,,0.0,30.25,23.99995,28.81275,0.0,,0.0004166692708418296,True,False
cpu_performance,gemmEx-cuda,large,gpu_performance,10,0,0,10,instrumentation_limited,,0.0,31.2215,23.99955,28.58355,0.0,,-0.0012500078125587955,True,False
cpu_performance,gemmEx-cuda,large,gpu_powersave,10,0,10,0,censored_failure,,,5.4135,120.0008,,,,400.00645837369814,False,False
cpu_performance,heartwall-cuda,large,gpu_default,10,10,0,0,valid,4.72261041747,0.3377,41.3945,0.4699,0.1276,0.0059,0.0,0.0,True,True
