benchmark,size,recommended_gpu_governor,reason,portable_across_cpu_modes,geomean_edp_change_vs_default_pct,powersave_edp_change_vs_default_pct,performance_edp_change_vs_default_pct,powersave_latency_change_vs_default_pct,performance_latency_change_vs_default_pct,worst_latency_change_pct,validation,runtime_policy
babelstream-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
backprop-cuda,large,gpu_ondemand,practical_cross_cpu_edp_improvement_ge_1pct_within_5pct_latency,True,-51.492397036522455,-52.18106585572562,-50.79381028938907,1.885432929026054,2.1249349713874155,2.1249349713874155,PASS,apply_static
bfs-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
bh-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
cfd-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
fft-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
gaussian-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
gemmEx-cuda,large,gpu_default,default_retained_gpu_timer_zero_edp_unrankable,False,,,,0.0,0.0,0.0,UNRANKABLE,measure_gpu_timer_then_default
heartwall-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
hotspot-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
hybridsort-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
ising-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
kmeans-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
lavaMD-cuda,large,gpu_ondemand,practical_cross_cpu_edp_improvement_ge_1pct_within_5pct_latency,True,-2.49436203201705,-3.2476892724918494,-1.7351692785950723,-0.20331382004076248,0.0005000050000480982,0.0005000050000480982,PASS,apply_static
leukocyte-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
lud-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
lulesh-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
memcpy-cuda,large,gpu_default,default_retained_gpu_timer_zero_edp_unrankable,False,,,,0.0,0.0,0.0,UNRANKABLE,measure_gpu_timer_then_default
mixbench-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
myocyte-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
nbody-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
nn-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
nw-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
particlefilter-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
pathfinder-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
srad-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
stencil1d-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
stencil3d-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
streamcluster-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
triad-cuda,large,gpu_default,default_retained_no_practical_cross_cpu_win,True,0.0,0.0,0.0,0.0,0.0,0.0,PASS,apply_static
