experiment_ts,cpu_governor,governor,benchmark,size,run,avg_cpu_time_sec,avg_gpu_memcpy_sec,avg_gpu_time_sec,avg_launch_time_sec,bus_width_bits,cgroup_mem_anon_bytes_avg,cgroup_mem_anon_bytes_max,cgroup_mem_anon_bytes_min,cgroup_mem_direct_reclaim_steal_avg,cgroup_mem_direct_reclaim_steal_max,cgroup_mem_direct_reclaim_steal_min,cgroup_mem_file_bytes_avg,cgroup_mem_file_bytes_max,cgroup_mem_file_bytes_min,cgroup_mem_kernel_bytes_avg,cgroup_mem_kernel_bytes_max,cgroup_mem_kernel_bytes_min,cgroup_mem_kswapd_steal_avg,cgroup_mem_kswapd_steal_max,cgroup_mem_kswapd_steal_min,cgroup_mem_slab_bytes_avg,cgroup_mem_slab_bytes_max,cgroup_mem_slab_bytes_min,completed_launches,cpu_active_pct_avg,cpu_active_pct_max,cpu_active_pct_min,cpu_active_pct_samples,cpu_ctxt_switch_rate_avg,cpu_ctxt_switch_rate_max,cpu_ctxt_switch_rate_min,cpu_ctxt_switch_rate_samples,cpu_freq_mhz_avg,cpu_freq_mhz_max,cpu_freq_mhz_min,cpu_freq_mhz_samples,cpu_iowait_pct_avg,cpu_iowait_pct_max,cpu_iowait_pct_min,cpu_iowait_pct_samples,cpu_procs_blocked_avg,cpu_procs_blocked_max,cpu_procs_blocked_min,cpu_procs_blocked_samples,cpu_procs_running_avg,cpu_procs_running_max,cpu_procs_running_min,cpu_procs_running_samples,cpu_system_pct_avg,cpu_system_pct_max,cpu_system_pct_min,cpu_system_pct_samples,cpu_temp_c_avg,cpu_temp_c_max,cpu_temp_c_min,cpu_temp_c_samples,cpu_user_pct_avg,cpu_user_pct_max,cpu_user_pct_min,cpu_user_pct_samples,dram_active_pct_avg,dram_active_pct_max,dram_active_pct_min,dram_active_pct_samples,dram_bandwidth_gbps,dram_type,duration_actual_sec,duration_target_sec,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_c_min,gpu_temp_c_samples,interconnect,interconnect_gen_max,interconnect_width_max,launch_time_stdev_sec,loadavg_15min_avg,loadavg_15min_max,loadavg_15min_min,loadavg_15min_samples,loadavg_1min_avg,loadavg_1min_max,loadavg_1min_min,loadavg_1min_samples,loadavg_5min_avg,loadavg_5min_max,loadavg_5min_min,loadavg_5min_samples,max_gpu_time_sec,max_launch_time_sec,mem_clock_mhz_est,min_gpu_time_sec,min_launch_time_sec,parallel,pcie_gen_avg,pcie_gen_max,pcie_gen_max_avg,pcie_gen_max_max,pcie_gen_max_min,pcie_gen_max_samples,pcie_gen_min,pcie_gen_samples,pcie_samples,pcie_width_avg,pcie_width_max,pcie_width_max_avg,pcie_width_max_max,pcie_width_max_min,pcie_width_max_samples,pcie_width_min,pcie_width_samples,peak_power_w,power_draw_w_avg,power_draw_w_max,power_draw_w_min,power_draw_w_samples,sm_active_pct_avg,sm_active_pct_max,sm_active_pct_min,sm_active_pct_samples,sm_clock_mhz_avg,sm_clock_mhz_max,sm_clock_mhz_min,sm_clock_mhz_samples,sys_mem_avail_gb_avg,sys_mem_avail_gb_max,sys_mem_avail_gb_min,sys_mem_avail_gb_samples,sys_mem_free_gb_avg,sys_mem_free_gb_max,sys_mem_free_gb_min,sys_mem_free_gb_samples,sys_mem_pressure_full_avg,sys_mem_pressure_full_max,sys_mem_pressure_full_min,sys_mem_pressure_full_samples,sys_mem_pressure_some_avg,sys_mem_pressure_some_max,sys_mem_pressure_some_min,sys_mem_pressure_some_samples,sys_mem_total_gb_avg,sys_mem_total_gb_max,sys_mem_total_gb_min,sys_mem_total_gb_samples,sys_mem_used_gb_avg,sys_mem_used_gb_max,sys_mem_used_gb_min,sys_mem_used_gb_samples,sys_mem_used_pct_avg,sys_mem_used_pct_max,sys_mem_used_pct_min,sys_mem_used_pct_samples,sys_swap_total_gb_avg,sys_swap_total_gb_max,sys_swap_total_gb_min,sys_swap_total_gb_samples,sys_swap_used_gb_avg,sys_swap_used_gb_max,sys_swap_used_gb_min,sys_swap_used_gb_samples,total_launches,video_clock_mhz_avg,video_clock_mhz_max,video_clock_mhz_min,video_clock_mhz_samples,vmstat_pgfault_rate_avg,vmstat_pgfault_rate_max,vmstat_pgfault_rate_samples,vmstat_pgmajfault_rate_avg,vmstat_pgmajfault_rate_max,vmstat_pgmajfault_rate_samples,vmstat_pgscan_rate_avg,vmstat_pgscan_rate_max,vmstat_pgscan_rate_samples,vmstat_pgsteal_rate_avg,vmstat_pgsteal_rate_max,vmstat_pgsteal_rate_samples,vmstat_pswpin_rate_avg,vmstat_pswpin_rate_max,vmstat_pswpin_rate_samples,vmstat_pswpout_rate_avg,vmstat_pswpout_rate_max,vmstat_pswpout_rate_samples
20260716_164154,cpu_powersave,gpu_default,cfd-cuda,large,1,0.9872,0.0092,0.615,1.6113,256,1145114691.702,1165586432,1092300800,0.0,0,0,3645935446.744,3689725952,3612311552,179386249.521,181440512,178704384,0.0,0,0,127872614.149,129017280,127644376,74,5.622,12.9,3.6,120,3428.208,16059,2609,120,858.0,858.0,858.0,121,0.018,0.2,0.0,120,0.0,0,0,121,2.157,4,1,121,1.663,3.1,0.7,120,49.078,53.5,38.1,121,3.975,9.8,2.6,120,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),120.319,120,47.958,56.0,37.0,1201,NVLink-C2C,5,16,0.0403,0.503,0.54,0.46,121,0.777,0.94,0.31,121,0.511,0.61,0.37,121,0.6898,1.7095,N/A,0.5507,1.5096,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,43.58,31.203,43.58,10.39,1201,39.512,93.0,0.0,1201,2456.908,2541.0,2411.0,1201,118.355,118.59,118.04,121,115.885,116.13,115.57,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.335,3.65,3.1,121,2.746,3.0,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2126.828,2223.0,2060.0,1201,17132.5,51144,240,0.0,0,240,0.0,0,240,0.0,0,240,0.0,0,240,0.0,0,240
20260716_164426,cpu_powersave,gpu_default,cfd-cuda,large,2,0.9793,0.0091,0.6148,1.6032,256,1146444706.909,1161162752,1083273216,0.0,0,0,3644493113.124,3657154560,3612737536,179325791.207,179945472,178491392,0.0,0,0,127895636.43,128144736,127675736,74,5.445,5.9,0.5,121,2898.388,3309,1562,121,858.0,858.0,858.0,121,0.014,0.1,0.0,121,0.0,0,0,121,2.107,4,1,121,1.574,2.4,0.3,121,53.229,57.1,43.4,121,3.885,5.0,0.1,121,0.0,0.0,0.0,1200,N/A,LPDDR5X (unified),120.432,120,51.787,59.0,42.0,1200,NVLink-C2C,5,16,0.0412,0.569,0.6,0.53,121,0.895,1.0,0.63,121,0.666,0.74,0.57,121,0.6798,1.698,N/A,0.554,1.4961,1,1.0,1.0,5.0,5.0,5.0,1200,1.0,1200,2,1.0,1.0,16.0,16.0,16.0,1200,1.0,1200,44.5,31.625,44.5,4.46,1200,39.672,93.0,0.0,1200,2423.78,2528.0,208.0,1200,118.35,118.61,118.2,121,115.88,116.14,115.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.34,3.49,3.08,121,2.745,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2105.015,2216.0,598.0,1200,17184.4,48208,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_164658,cpu_powersave,gpu_default,cfd-cuda,large,3,0.9852,0.0092,0.6173,1.6116,256,1148037543.14,1162948608,1084301312,0.0,0,0,3644351716.496,3657568256,3612712960,179322812.298,180047872,178388992,0.0,0,0,127951945.917,128234032,127742880,74,5.431,5.8,0.5,121,2887.579,3227,1578,121,858.0,858.0,858.0,121,0.012,0.1,0.0,121,0.0,0,0,121,2.132,3,1,121,1.574,2.5,0.3,121,55.358,58.9,46.1,121,3.872,5.0,0.1,121,0.0,0.0,0.0,1199,N/A,LPDDR5X (unified),120.215,120,53.616,61.0,44.0,1199,NVLink-C2C,5,16,0.0397,0.624,0.65,0.59,121,0.919,1.02,0.68,121,0.764,0.82,0.69,121,0.6762,1.7009,N/A,0.5581,1.5181,1,1.0,1.0,5.0,5.0,5.0,1199,1.0,1199,2,1.0,1.0,16.0,16.0,16.0,1199,1.0,1199,44.56,32.112,44.56,4.61,1199,38.736,93.0,0.0,1199,2439.313,2522.0,208.0,1199,118.353,118.63,118.21,121,115.883,116.16,115.74,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.337,3.48,3.06,121,2.737,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2115.917,2197.0,598.0,1199,17039.0,48204,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_164930,cpu_powersave,gpu_default,cfd-cuda,large,4,0.994,0.0092,0.6152,1.6185,256,1147781356.959,1163063296,1083813888,0.0,0,0,3644670662.876,3657981952,3613560832,179345357.223,180084736,178176000,0.0,0,0,127978568.264,128231768,127676032,74,5.442,5.8,0.5,121,2881.124,3286,1561,121,858.0,858.0,858.0,121,0.018,0.2,0.0,121,0.017,2,0,121,2.231,4,1,121,1.594,2.4,0.3,121,56.688,59.8,47.3,121,3.854,5.0,0.1,121,0.0,0.0,0.0,1200,N/A,LPDDR5X (unified),121.109,120,54.872,61.0,46.0,1200,NVLink-C2C,5,16,0.0412,0.657,0.68,0.63,121,0.841,1.03,0.61,121,0.793,0.85,0.74,121,0.6799,1.7273,N/A,0.5531,1.5142,1,1.0,1.0,5.0,5.0,5.0,1200,1.0,1200,2,1.0,1.0,16.0,16.0,16.0,1200,1.0,1200,44.79,32.189,44.79,4.71,1200,38.995,93.0,0.0,1200,2433.616,2515.0,208.0,1200,118.334,118.61,118.21,121,115.864,116.14,115.74,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.356,3.48,3.08,121,2.757,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2111.037,2197.0,598.0,1200,16998.7,48124,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_165202,cpu_powersave,gpu_default,cfd-cuda,large,5,0.9971,0.0093,0.6196,1.626,256,1148951865.124,1162686464,1084100608,0.0,0,0,3646352358.612,3658420224,3613982720,179424095.207,180056064,178499584,0.0,0,0,128075371.24,128279560,127845456,73,5.436,5.8,0.5,121,2880.81,3181,1574,121,858.0,858.0,858.0,121,0.016,0.2,0.0,121,0.0,0,0,121,2.289,4,1,121,1.581,2.6,0.3,121,57.455,60.7,48.2,121,3.87,5.0,0.1,121,0.0,0.0,0.0,1200,N/A,LPDDR5X (unified),120.418,120,55.461,62.0,46.0,1200,NVLink-C2C,5,16,0.0488,0.697,0.74,0.66,121,0.951,1.17,0.62,121,0.847,0.92,0.77,121,0.6618,1.8156,N/A,0.5658,1.5304,1,1.0,1.0,5.0,5.0,5.0,1200,1.0,1200,2,1.0,1.0,16.0,16.0,16.0,1200,1.0,1200,44.96,32.294,44.96,4.7,1200,38.931,93.0,0.0,1200,2435.177,2515.0,208.0,1200,118.316,118.62,118.2,121,115.845,116.15,115.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.374,3.49,3.07,121,2.772,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2111.713,2197.0,598.0,1200,16986.9,48217,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_165435,cpu_powersave,gpu_default,cfd-cuda,large,6,0.9946,0.0092,0.6159,1.6197,256,1148216142.281,1163132928,1084010496,0.0,0,0,3645699672.86,3658829824,3614040064,179466815.471,180224000,178360320,0.0,0,0,128121474.38,128398264,127863664,74,5.44,5.8,0.5,121,2874.959,3392,1569,121,858.0,858.0,858.0,121,0.017,0.2,0.0,121,0.0,0,0,121,2.207,4,1,121,1.606,2.3,0.3,121,57.585,60.9,48.8,121,3.849,5.0,0.1,121,0.0,0.0,0.0,1199,N/A,LPDDR5X (unified),121.058,120,55.926,62.0,47.0,1199,NVLink-C2C,5,16,0.0379,0.75,0.78,0.72,121,1.014,1.15,0.84,121,0.915,0.95,0.86,121,0.6804,1.6965,N/A,0.5553,1.519,1,1.0,1.0,5.0,5.0,5.0,1199,1.0,1199,2,1.0,1.0,16.0,16.0,16.0,1199,1.0,1199,45.2,32.465,45.2,4.68,1199,38.398,93.0,0.0,1199,2431.554,2509.0,208.0,1199,118.342,118.62,118.22,121,115.871,116.14,115.75,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.348,3.47,3.07,121,2.745,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2109.105,2197.0,598.0,1199,16997.2,47838,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_165708,cpu_powersave,gpu_default,cfd-cuda,large,7,1.0057,0.0093,0.6091,1.624,256,1147747471.868,1162866688,1085763584,0.0,0,0,3646308148.893,3659264000,3614830592,179452293.289,180097024,178614272,0.0,0,0,128157524.76,128412600,127961992,73,5.424,5.7,0.5,121,2869.14,3122,1582,121,858.0,858.0,858.0,121,0.016,0.2,0.0,121,0.008,1,0,121,2.339,4,1,121,1.593,2.4,0.3,121,57.924,61.3,48.9,121,3.837,5.0,0.1,121,0.0,0.0,0.0,1199,N/A,LPDDR5X (unified),120.994,120,55.957,62.0,47.0,1199,NVLink-C2C,5,16,0.0426,0.77,0.8,0.74,121,0.894,1.14,0.6,121,0.899,0.96,0.85,121,0.6423,1.7258,N/A,0.5387,1.5385,1,1.0,1.0,5.0,5.0,5.0,1199,1.0,1199,2,1.0,1.0,16.0,16.0,16.0,1199,1.0,1199,45.01,32.409,45.01,4.6,1199,37.988,93.0,0.0,1199,2432.419,2509.0,208.0,1199,118.341,118.62,118.21,121,115.869,116.15,115.74,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.349,3.48,3.07,121,2.741,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2109.525,2197.0,598.0,1199,16978.0,48194,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_165941,cpu_powersave,gpu_default,cfd-cuda,large,8,0.9904,0.0093,0.6118,1.6115,256,1148437427.835,1162960896,1084137472,0.0,0,0,3646513287.405,3659673600,3614347264,179496266.05,180109312,178434048,0.0,0,0,128257144.397,128458792,127951320,74,5.438,5.8,0.5,121,2884.116,3132,1586,121,858.0,858.0,858.0,121,0.013,0.2,0.0,121,0.0,0,0,121,2.157,4,1,121,1.605,2.5,0.3,121,58.415,61.5,49.1,121,3.846,4.9,0.1,121,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),121.124,120,56.291,63.0,47.0,1201,NVLink-C2C,5,16,0.0412,0.797,0.82,0.77,121,0.908,1.07,0.69,121,0.903,0.94,0.87,121,0.6394,1.6734,N/A,0.5589,1.5178,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,45.08,32.489,45.08,4.72,1201,38.268,93.0,0.0,1201,2431.001,2509.0,208.0,1201,118.343,118.63,118.19,121,115.87,116.16,115.72,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.347,3.5,3.06,121,2.746,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2108.3,2197.0,598.0,1201,17026.7,48197,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_170212,cpu_powersave,gpu_default,cfd-cuda,large,9,0.9988,0.0093,0.6194,1.6274,256,1148173489.719,1163096064,1084727296,0.0,0,0,3646318067.306,3660099584,3615670272,179564916.364,180215808,178593792,0.0,0,0,128348792.0,128574856,128113488,73,5.421,5.7,0.5,121,2876.835,3159,1582,121,858.0,858.0,858.0,121,0.018,0.2,0.0,121,0.008,1,0,121,2.149,4,1,121,1.593,2.4,0.3,121,58.352,61.7,49.2,121,3.845,5.0,0.2,121,0.0,0.0,0.0,1200,N/A,LPDDR5X (unified),120.27,120,56.521,63.0,47.0,1200,NVLink-C2C,5,16,0.0412,0.835,0.86,0.81,121,1.032,1.19,0.77,121,0.95,1.01,0.89,121,0.6791,1.7094,N/A,0.5502,1.5019,1,1.0,1.0,5.0,5.0,5.0,1200,1.0,1200,2,1.0,1.0,16.0,16.0,16.0,1200,1.0,1200,45.18,32.555,45.18,4.79,1200,39.391,93.0,0.0,1200,2433.153,2509.0,208.0,1200,118.347,118.64,118.2,121,115.875,116.16,115.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.343,3.49,3.05,121,2.741,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2109.65,2197.0,598.0,1200,17007.7,48201,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260716_170445,cpu_powersave,gpu_default,cfd-cuda,large,10,0.9906,0.0092,0.6114,1.6112,256,1148705495.802,1163591680,1084674048,0.0,0,0,3647732168.992,3660505088,3616088064,179618130.512,180289536,178622464,0.0,0,0,128415774.149,128647664,128134672,74,5.428,5.8,0.5,121,2887.612,3175,1557,121,858.0,858.0,858.0,121,0.017,0.2,0.0,121,0.0,0,0,121,2.289,4,1,121,1.593,2.5,0.3,121,58.627,61.8,49.4,121,3.85,5.1,0.1,121,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),120.513,120,56.619,63.0,48.0,1201,NVLink-C2C,5,16,0.0506,0.856,0.88,0.83,121,0.977,1.14,0.72,121,0.957,1.0,0.91,121,0.6781,1.7709,N/A,0.5629,1.5093,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,45.49,32.572,45.49,4.75,1201,39.001,93.0,0.0,1201,2436.287,2509.0,208.0,1201,118.345,118.62,118.22,121,115.872,116.15,115.75,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.345,3.47,3.07,121,2.741,2.9,2.5,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2111.573,2197.0,598.0,1201,17038.0,48210,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
