timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1783504331.4872,5746884608,33979535360,1522946048,4804499032,,,99009109,125177154
1783504332.4876,5981904896,34023772160,1526947840,4804106056,,,99009109,125177154
1783504333.4882,6044504064,34023772160,1526345728,4803369424,,,99009109,125177154
1783504334.4887,6056632320,34023772160,1527230464,4803855296,,,99009109,125177154
1783504335.489,6044561408,34023772160,1527386112,4804444080,,,99009109,125177154
1783504336.4895,6044565504,34023772160,1526566912,4803605568,,,99009109,125177154
1783504337.4897,6044426240,34023772160,1528348672,4805068248,,,99009109,125177154
1783504338.4902,6044426240,34023772160,1527009280,4804040032,,,99009109,125177154
1783504339.4905,6057226240,34023772160,1528619008,4805090128,,,99009109,125177154
1783504340.4909,6044422144,34023772160,1527451648,4804506448,,,99009109,125177154
1783504341.4913,6044430336,34023772160,1526464512,4803508032,,,99009109,125177154
1783504342.4917,6044401664,34023772160,1527439360,4804149920,,,99009109,125177154
1783504343.492,6044385280,34023772160,1526894592,4803959176,,,99009109,125177154
1783504344.4923,6044688384,34023772160,1527521280,4804204888,,,99009109,125177154
1783504345.4926,6044405760,34023772160,1527402496,4804418472,,,99009109,125177154
1783504346.493,6044430336,34023772160,1526870016,4803909008,,,99009109,125177154
1783504347.4933,6044454912,34023772160,1528147968,4804854840,,,99009109,125177154
1783504348.4937,6044602368,34023772160,1527570432,4804578232,,,99009109,125177154
1783504349.494,6044864512,34023772160,1527988224,4804826136,,,99009109,125177154
1783504350.4943,6045814784,34023772160,1527070720,4803864272,,,99009109,125177154
1783504351.4947,6044590080,34023772160,1526738944,4803764648,,,99009109,125177154
1783504352.4949,6052401152,34023772160,1527324672,4803981624,,,99009109,125177154
1783504353.4952,6044299264,34023772160,1526984704,4804020808,,,99009109,125177154
1783504354.4956,6044491776,34023772160,1526943744,4803977288,,,99009109,125177154
1783504355.4961,6044479488,34023772160,1528414208,4805157632,,,99009109,125177154
1783504356.4966,6044405760,34023772160,1527345152,4804383248,,,99009109,125177154
1783504357.4974,6044405760,34023772160,1526374400,4803400824,,,99009109,125177154
1783504358.4978,6044413952,34023772160,1527148544,4804063640,,,99009109,125177154
1783504359.4984,6044422144,34023772160,1526403072,4803438648,,,99009109,125177154
1783504360.4991,6239010816,34023772160,1527205888,4803413800,,,99009109,125177154
1783504361.4996,5903269888,34023776256,1526304768,4804078800,,,99009109,125177154
1783504362.5002,6055063552,34023776256,1527209984,4803840520,,,99009109,125177154
1783504363.5006,6044659712,34023776256,1527267328,4804066896,,,99009109,125177154
1783504364.501,6044467200,34023776256,1526988800,4804008120,,,99009109,125177154
1783504365.5014,6044196864,34023776256,1526960128,4803991728,,,99009109,125177154
1783504366.5017,6045040640,34023776256,1528061952,4804514528,,,99009109,125177154
1783504367.5019,6044176384,34023776256,1527689216,4804712664,,,99009109,125177154
1783504368.5023,6045859840,34023776256,1527148544,4803785872,,,99009109,125177154
1783504369.5025,6044123136,34023776256,1527033856,4804101824,,,99009109,125177154
1783504370.5031,6044114944,34023776256,1527259136,4804289896,,,99009109,125177154
1783504371.5035,6045069312,34023776256,1528025088,4804373688,,,99009109,125177154
1783504372.5041,6044819456,34023776256,1527042048,4804060616,,,99009109,125177154
1783504373.5045,6044487680,34023776256,1527410688,4804423600,,,99009109,125177154
1783504374.5048,6044508160,34023776256,1527304192,4804322728,,,99009109,125177154
1783504375.5051,6044487680,34023776256,1527099392,4804146608,,,99009109,125177154
1783504376.5054,6052450304,34023776256,1527480320,4804106712,,,99009109,125177154
1783504377.5057,6044372992,34023776256,1527078912,4804126464,,,99009109,125177154
1783504378.5064,6044401664,34023776256,1527758848,4804800776,,,99009109,125177154
1783504379.5066,6044360704,34023776256,1527648256,4804333032,,,99009109,125177154
1783504380.507,6044385280,34023776256,1527754752,4804785256,,,99009109,125177154
1783504381.5078,6044397568,34023776256,1527451648,4804450808,,,99009109,125177154
1783504382.508,6046072832,34023776256,1526915072,4803821520,,,99009109,125177154
1783504383.5089,6044315648,34023776256,1526669312,4803707800,,,99009109,125177154
1783504384.5093,6044213248,34023776256,1527160832,4804225328,,,99009109,125177154
1783504385.5096,6044340224,34023776256,1526513664,4803549192,,,99009109,125177154
1783504386.5104,6044360704,34023776256,1527472128,4804492840,,,99009109,125177154
1783504387.5107,6044270592,34023776256,1528434688,4805155400,,,99009109,125177154
1783504388.511,6045855744,34023776256,1526902784,4803832344,,,99009109,125177154
1783504389.5117,6239039488,34023776256,1527619584,4803834800,,,99009109,125177154
1783504390.5122,5902987264,34023776256,1526173696,4803520176,,,99009109,125177154
1783504391.5132,6044286976,34023776256,1526333440,4803350872,,,99009109,125177154
1783504392.5139,6044389376,34023776256,1527316480,4804365288,,,99009109,125177154
1783504393.5145,6044360704,34023776256,1526886400,4803900704,,,99009109,125177154
1783504394.5151,6044348416,34023776256,1525673984,4802732728,,,99009109,125177154
1783504395.5157,6044372992,34023776256,1526951936,4803992408,,,99009109,125177154
1783504396.5163,6044512256,34023776256,1527472128,4804219752,,,99009109,125177154
1783504397.517,6044483584,34023776256,1527164928,4804224768,,,99009109,125177154
1783504398.5176,6061539328,34023776256,1527312384,4803903224,,,99009109,125177154
1783504399.5181,6045708288,34023776256,1527939072,4804802600,,,99009109,125177154
1783504400.5187,6044499968,34023776256,1527500800,4804548296,,,99009109,125177154
1783504401.5193,6045106176,34023776256,1527009280,4804051648,,,99009109,125177154
1783504402.5201,6044594176,34023776256,1526362112,4803413680,,,99009109,125177154
1783504403.5206,6061596672,34023776256,1527685120,4804285472,,,99009109,125177154
1783504404.5212,6044577792,34023776256,1527181312,4804243616,,,99009109,125177154
1783504405.5216,6045970432,34023776256,1527279616,4804137904,,,99009109,125177154
1783504406.5221,6044508160,34023776256,1526427648,4803481416,,,99009109,125177154
1783504407.5224,6044348416,34023776256,1527304192,4804378248,,,99009109,125177154
1783504408.5231,6052806656,34023776256,1527529472,4804187840,,,99009109,125177154
1783504409.5235,6044442624,34023776256,1526362112,4803410632,,,99009109,125177154
1783504410.5241,6044409856,34023776256,1526943744,4804009912,,,99009109,125177154
1783504411.5245,6044483584,34023776256,1527291904,4804095568,,,99009109,125177154
1783504412.525,6044483584,34023776256,1526644736,4803719128,,,99009109,125177154
1783504413.5253,6044528640,34023776256,1526562816,4803576280,,,99009109,125177154
1783504414.5258,6044528640,34023776256,1526546432,4803624896,,,99009109,125177154
1783504415.5268,6044557312,34023776256,1526390784,4803467864,,,99009109,125177154
1783504416.5273,6044536832,34023776256,1528799232,4805591880,,,99009109,125177154
1783504417.528,6166863872,34023776256,1527836672,4804563760,,,99009109,125177154
1783504418.5289,6222708736,34023776256,1526804480,4803473808,,,99009109,125177154
1783504419.5296,6039048192,34023780352,1526231040,4803298176,,,99009109,125177154
1783504420.5303,6044524544,34023780352,1527443456,4804479928,,,99009109,125177154
1783504421.5312,6044884992,34023780352,1527619584,4804678896,,,99009109,125177154
1783504422.5318,6044495872,34023780352,1527287808,4804341656,,,99009109,125177154
1783504423.5323,6044540928,34023780352,1528815616,4805417544,,,99009109,125177154
1783504424.5327,6044532736,34023780352,1526411264,4803487600,,,99009109,125177154
1783504425.5336,6044528640,34023780352,1526501376,4803578160,,,99009109,125177154
1783504426.5342,6044536832,34023780352,1527169024,4804196392,,,99009109,125177154
1783504427.535,6044536832,34023780352,1527259136,4804330584,,,99009109,125177154
1783504428.5355,6044561408,34023780352,1527447552,4804006512,,,99009109,125177154
1783504429.5361,6044577792,34023780352,1527136256,4804175424,,,99009109,125177154
1783504430.5366,6044585984,34023780352,1527255040,4804315368,,,99009109,125177154
1783504431.5373,6044393472,34023780352,1527296000,4804380376,,,99009109,125177154
1783504432.5378,6044319744,34023780352,1527545856,4804625888,,,99009109,125177154
1783504433.5383,6061334528,34023780352,1528045568,4804666744,,,99009109,125177154
1783504434.5387,6044270592,34023780352,1527660544,4804713168,,,99009109,125177154
1783504435.5393,6045806592,34023780352,1527242752,4803942408,,,99009109,125177154
1783504436.5399,6044282880,34023780352,1527169024,4804219512,,,99009109,125177154
1783504437.5404,6044299264,34023780352,1526919168,4803973696,,,99009109,125177154
1783504438.5409,6044426240,34023780352,1527455744,4804218912,,,99009109,125177154
1783504439.5415,6044504064,34023780352,1525899264,4802962120,,,99009109,125177154
1783504440.5423,6044520448,34023780352,1526673408,4803755832,,,99009109,125177154
1783504441.5427,6044487680,34023780352,1526530048,4803583024,,,99009109,125177154
1783504442.5433,6044508160,34023780352,1526992896,4804037064,,,99009109,125177154
1783504443.5439,6044491776,34023780352,1527111680,4803795704,,,99009109,125177154
1783504444.5444,6044459008,34023780352,1527496704,4804481472,,,99009109,125177154
1783504445.5449,6057517056,34023780352,1526968320,4803634304,,,99009109,125177154
1783504446.5455,6192021504,34023780352,1527267328,4803992528,,,99009109,125177154
1783504447.5461,6222766080,34023780352,1526984704,4803606000,,,99009109,125177154
1783504448.5468,6044590080,34023780352,1527128064,4804166168,,,99009109,125177154
