counter,rho_edp_all,rho_edp_perf,rho_edp_psv,rho_sm_active,reproducible,spread
sm_active_max,-0.28758749301336944,-0.30347878676288914,-0.2811142194634765,0.7084505119468485,True,0.17349148147015922
sm_clock_min,0.17199805636766224,0.183551450584392,0.15559974741343113,-0.38262232356176845,True,4.710397205052774
sm_active,-0.1525090144437789,-0.13924674801883152,-0.1671933272720873,0.9999999999999998,True,0.5472827173393123
video_clock,0.1513340719267334,0.14921973206646455,0.14962254061434946,-0.880328651539089,True,0.4545960361805596
sm_clock,0.14614687649961455,0.14483050788951185,0.14453187396607994,-0.8814432542231634,True,0.7149634687734917
cpu_user,0.07435907674961596,0.10004930932465272,0.04885798369730575,0.33047499315852463,True,0.07438836959635713
gpu_temp,0.06410967287780006,0.010924445617637007,0.10304259353393533,-0.7802105939339223,True,0.1283156749640153
sm_clock_max,0.02621687092895527,0.03890336785746471,0.015008983720680463,-0.5359581145646417,True,0.47102414520457914
cpu_temp,0.05394492267215231,-0.025064414643389675,0.10369542118050741,-0.7452594663101788,False,0.10375233515451829
mem_clock,-0.005644238083361511,0.0009514615700039861,-0.004180874928046713,-0.01476674942273303,False,0.0
dram_active,-0.005644238083361511,0.0009514615700039861,-0.004180874928046713,-0.01476674942273303,False,0.0
cpu_freq,nan,nan,nan,nan,False,0.0
pcie_gen,nan,nan,nan,nan,False,0.0
pcie_width,nan,nan,nan,nan,False,0.0
