cpu_mode,benchmark,governor,edp_delta,energy_delta,latency_delta,power_delta,valid_runs,sm_active_default,sm_clock_default,dram_active_default
CPU 3354 MHz,babelstream,ondemand,21.972507280689292,21.132510916738244,0.6707994985339694,20.388977532450745,10,94.56450000000001,2406.576,0.0
CPU 3354 MHz,babelstream,performance,16.95205641917996,17.061089043566312,-0.11332460217371443,17.26249514856182,10,94.56450000000001,2406.576,0.0
CPU 3354 MHz,babelstream,powersave,-47.44249603478754,-57.411183907849086,23.38892835439421,-65.49010306610892,10,94.56450000000001,2406.576,0.0
CPU 3354 MHz,backprop,ondemand,-46.87645258885881,-49.009578168024284,4.239485849588442,-50.97869057950053,10,0.8334999999999999,1914.806,0.0
CPU 3354 MHz,backprop,performance,53.660451342903755,49.97853555085192,2.514375916112277,46.60592035483562,10,0.8334999999999999,1914.806,0.0
CPU 3354 MHz,backprop,powersave,-47.17744573772256,-48.85975153305827,3.4971999849663593,-50.50139812939929,10,0.8334999999999999,1914.806,0.0
CPU 3354 MHz,bfs,ondemand,-36.48616646058229,-37.561362220231445,1.6679586886393594,-38.78469617404351,10,0.39549999999999996,1079.7995,0.0
CPU 3354 MHz,bfs,performance,92.30150369036613,90.80075173883411,0.5784924187484775,89.35983995999,10,0.39549999999999996,1079.7995,0.0
CPU 3354 MHz,bfs,powersave,-33.95532932430291,-35.153763634601276,1.5979394333441643,-36.32783195798951,10,0.39549999999999996,1079.7995,0.0
CPU 3354 MHz,bh,ondemand,-0.9351534236103243,-1.4195392247391858,0.5429995644388397,-1.6492078607912797,10,90.4845,2488.038,0.0
CPU 3354 MHz,bh,performance,-2.830303104319809,-2.829742386687162,-0.2032618690412935,-2.359103107956051,10,90.4845,2488.038,0.0
CPU 3354 MHz,bh,powersave,1360.3895923943805,57.21023311183557,828.5050573488844,-83.03754364701469,10,90.4845,2488.038,0.0
CPU 3354 MHz,cfd,ondemand,-11.347333503272905,-13.13297559005624,1.9415741044042756,-15.178691941990719,10,35.676,2426.0295,0.0
CPU 3354 MHz,cfd,performance,5.897841797002101,5.446888410726181,0.3007653137190536,4.409184300904334,10,35.676,2426.0295,0.0
CPU 3354 MHz,cfd,powersave,101.25694535131187,-32.647695663194085,198.52893004973043,-77.55515229682509,10,35.676,2426.0295,0.0
CPU 3354 MHz,fft,ondemand,-1.3193666369019863,-3.0283833878415045,1.7180957881059111,-4.555064385931217,10,77.059,2471.7145,0.0
CPU 3354 MHz,fft,performance,-0.9220323790689267,-0.9340992418091276,-0.03675071204505276,-0.9107171897869804,10,77.059,2471.7145,0.0
CPU 3354 MHz,fft,powersave,1504.8162377694225,66.94813195546614,860.6058617385711,-82.63132216620589,10,77.059,2471.7145,0.0
CPU 3354 MHz,gaussian,ondemand,-12.073096744265065,-17.35667338390393,6.348544888356833,-22.317270702571367,10,6.445,1200.8555000000001,0.0
CPU 3354 MHz,gaussian,performance,92.84573321466513,86.39456984637384,3.433775562004193,80.54768171694673,10,6.445,1200.8555000000001,0.0
CPU 3354 MHz,gaussian,powersave,-15.069010657743064,-30.50445465157369,22.26915587613558,-43.16663292164405,10,6.445,1200.8555000000001,0.0
CPU 3354 MHz,gemmEx,ondemand,0.6426196158284769,-0.11293049373365394,0.8432822337424151,-0.9111728304828759,10,91.491,2488.7145,0.0
CPU 3354 MHz,gemmEx,performance,0.8629679341523921,0.6229546754004556,0.1982251810259683,0.5424807939060194,10,91.491,2488.7145,0.0
CPU 3354 MHz,gemmEx,powersave,-100.0,-100.0,-100.0,-81.54103526125161,10,91.491,2488.7145,0.0
CPU 3354 MHz,heartwall,ondemand,-0.6965348039732588,-8.541519378204876,8.688245315161858,-15.885427733627965,10,55.785,2451.959,0.0
CPU 3354 MHz,heartwall,performance,4.6357600521084175,3.5687583374643506,1.243611584327109,2.46625019477853,10,55.785,2451.959,0.0
CPU 3354 MHz,heartwall,powersave,739.2836993129296,20.626081404856066,596.6609880749573,-82.63142237898941,10,55.785,2451.959,0.0
CPU 3354 MHz,hotspot,ondemand,1.9860106463403193,-0.03813342297104283,2.166950596252115,-1.9349082256968186,10,51.473,2359.2794999999996,0.0
CPU 3354 MHz,hotspot,performance,0.7106253531498519,1.6554127966585064,-0.9028960817717202,2.580727396329019,10,51.473,2359.2794999999996,0.0
CPU 3354 MHz,hotspot,powersave,409.1334383348355,-16.937503415512833,512.5349233390119,-86.46244051665533,10,51.473,2359.2794999999996,0.0
CPU 3354 MHz,hybridsort,ondemand,-37.312960791593866,-38.871714405102495,2.690316837558937,-40.38634084551644,10,0.956,1625.1605,0.0
CPU 3354 MHz,hybridsort,performance,73.93653345772495,73.74345253065331,0.14742107320655506,73.49976249538186,10,0.956,1625.1605,0.0
CPU 3354 MHz,hybridsort,powersave,-43.048607565263694,-44.35627754817568,2.44210308171271,-45.63255396632713,10,0.956,1625.1605,0.0
CPU 3354 MHz,ising,ondemand,12.580088949538194,11.70364564567139,0.7907858912784116,10.76834840820624,10,87.601,2398.3445,0.0
CPU 3354 MHz,ising,performance,14.26872595943487,14.111260679474569,0.6204941519573515,12.039526880911634,10,87.601,2398.3445,0.0
CPU 3354 MHz,ising,powersave,211.06769979463934,-29.18158257733787,339.1803562870283,-83.90342052313883,10,87.601,2398.3445,0.0
CPU 3354 MHz,kmeans,ondemand,3.716573144216606,1.0886561550569773,2.7369016145391667,-1.1764896399277802,10,54.6785,2421.4184999999998,0.0
CPU 3354 MHz,kmeans,performance,7.103523562031944,6.4818837547090835,0.7632064648077197,6.164222731431623,10,54.6785,2421.4184999999998,0.0
CPU 3354 MHz,kmeans,powersave,383.89107733331196,-22.452033516937497,525.0960243427944,-87.5144733326316,10,54.6785,2421.4184999999998,0.0
CPU 3354 MHz,lavaMD,ondemand,-1.5896955771812826,-2.9070286967326497,1.4667054474807095,-4.825205891398687,10,9.9765,707.1965,0.0
CPU 3354 MHz,lavaMD,performance,57.921252302191476,56.89909957261909,0.6401658162184853,54.69364043331171,10,9.9765,707.1965,0.0
CPU 3354 MHz,lavaMD,powersave,90.22144232760934,-7.414900204473307,105.5943206815634,-55.100297303762424,10,9.9765,707.1965,0.0
CPU 3354 MHz,leukocyte,ondemand,-4.220835805394419,-28.77644955601234,34.45546276965903,-46.944086068531185,10,33.4065,2446.3985000000002,0.0
CPU 3354 MHz,leukocyte,performance,13.48027112575998,10.057403820784838,2.9966945024356484,6.83781242483219,10,33.4065,2446.3985000000002,0.0
CPU 3354 MHz,leukocyte,powersave,468.17606955600786,20.32193171702086,372.32515657620047,-74.52275261857383,10,33.4065,2446.3985000000002,0.0
CPU 3354 MHz,lud,ondemand,16.091379781076398,15.688331793840371,0.33004471573567784,15.331571824450618,10,76.3675,2405.201,0.0
CPU 3354 MHz,lud,performance,16.251057421782345,16.770993794442248,-0.3052026403577268,17.161822517239166,10,76.3675,2405.201,0.0
CPU 3354 MHz,lud,powersave,-7.3081580526823124,-48.851824015465006,81.3388695672747,-71.80189469613971,10,76.3675,2405.201,0.0
