benchmark,bottleneck,governor,gpu_edp,gpu_energy,gpu_power_w,cpu_time_sec,gpu_time_sec,memcpy_time_sec,latency_sec,gpu_edp_delta_pct,gpu_energy_delta_pct,latency_delta_pct,gpu_power_delta_pct,valid_runs,completed_launches,sm_active_pct,sm_clock_mhz,video_clock_mhz,usable
babelstream,GPU,default,62326.90957993036,1198.499341760507,23.05532554257095,0.2493,51.9925,0.0056,52.2474,0.0,0.0,0.0,0.0,10,2.0,94.863,2407.5344999999998,2074.6755000000003,True
babelstream,GPU,ondemand,76765.39890812075,1464.8084138829286,27.95092231373367,0.25995,52.3679,0.0056,52.629949999999994,23.16573920558973,22.22021012804507,0.7321895443600956,21.234125547796534,10,2.0,94.64699999999999,2476.0370000000003,2174.9210000000003,True
babelstream,GPU,powersave,33370.26710405003,509.2411539408632,7.765698511407901,0.27559999999999996,65.5358,0.0081,65.82050000000001,-46.459294502233014,-57.51010149135121,25.978517591306005,-66.31711620350458,10,1.0,94.9505,213.96249999999998,597.883,True
babelstream,GPU,performance,74195.93320904337,1429.7317584472567,27.55047122982749,0.25229999999999997,51.89205,0.0056,52.152950000000004,19.04317687032393,19.29349550973356,-0.18077454571900908,19.497211951990835,10,2.0,94.93799999999999,2515.217,2203.0,True
backprop,CPU,default,1.0029213650992447e-07,0.0010029213650992448,10.029213650992448,2.4495,0.0001,0.04925,2.4981,0.0,0.0,0.0,0.0,10,47.5,0.9504999999999999,1932.983,1742.5685,True
backprop,CPU,ondemand,4.795931780366057e-08,0.0004795931780366057,4.795931780366057,2.47065,0.0001,0.0743,2.5452,-52.18038076303746,-52.18038076303747,1.885432929026054,-52.18038076303747,10,47.0,1.508,213.77749999999997,597.8775,True
backprop,CPU,powersave,4.9765362198168194e-08,0.0004976536219816819,4.976536219816819,2.4866,0.0001,0.0741,2.5608,-50.379597115030414,-50.37959711503043,2.5099075297225992,-50.379597115030414,10,46.0,2.31,213.825,597.898,True
backprop,CPU,performance,1.546260199833472e-07,0.001546260199833472,15.462601998334721,2.45255,0.0001,0.0498,2.50235,54.17561671751412,54.17561671751412,0.17012929826667467,54.17561671751412,10,47.0,1.0394999999999999,2535.0,2229.0,True
bfs,CPU,default,0.004015995917879458,0.1722680063510461,7.37766012684731,5.78365,0.0233,0.01625,5.8232,0.0,0.0,0.0,0.0,10,20.0,0.6125,1065.904,1166.4535,True
bfs,CPU,ondemand,0.015930886346378022,0.27372656952539554,4.699034138218152,5.8255,0.0582,0.0257,5.90935,296.68582020845065,58.8957667319828,1.4794271191097774,-36.30725653627817,10,20.0,1.6364999999999998,212.834,597.913,True
