benchmark,bottleneck,cpu_fraction,gpu_fraction,memcpy_fraction,sm_active_default
babelstream,GPU,0.00477152930097957,0.9951212883320509,0.00010718236696945685,94.863
backprop,CPU,0.9805452143629159,4.0030423121572394e-05,0.019714983387374405,0.9504999999999999
bfs,CPU,0.9932082016760544,0.0040012364335760406,0.0027905618903695563,0.6125
bh,GPU,0.02489448956840261,0.9750457875457875,9.953814301640389e-05,92.648
cfd,MIXED,0.6144082226556453,0.3808550818860097,0.005696418067552088,38.962999999999994
fft,GPU,0.15275211148070578,0.8416355248928861,0.0059956469960165916,80.94749999999999
gaussian,CPU,0.9355022852345863,0.06326275533998695,0.0008096259677268913,6.2405
gemmEx,CPU,1.0,0.0,0.0,91.96600000000001
heartwall,GPU,0.26766275346851653,0.720384204909285,0.012486659551760936,69.695
hotspot,MIXED,0.3946894365182303,0.6038694336359706,0.00043233895373973193,56.89
hybridsort,CPU,0.983481132029731,0.007786704420385068,0.008669132941250624,0.9185
ising,GPU,0.06725853606201218,0.9302953088539013,0.002687551967384599,88.598
kmeans,MIXED,0.3833386025924755,0.6072645519373309,0.009168510907366423,58.1495
lavaMD,CPU,0.8713865779411478,0.10185631932262194,0.0256763879863565,9.84
leukocyte,MIXED,0.6032210109018832,0.39033696729435086,0.006342913776015858,38.033500000000004
lud,GPU,0.14574558764540713,0.8320171480144404,0.02211191335740072,79.22
lulesh,MEMCPY,0.27809080294349264,0.48020474108670275,0.24139218508159777,56.407
memcpy,CPU,1.0,0.0,0.0,42.821
mixbench,GPU,0.008705138858270164,0.9905854488516564,0.001011831075084649,94.527
myocyte,GPU,0.09765211303359414,0.7440914772075005,0.1583485725280571,72.924
nbody,GPU,0.012524059652289124,0.9874446432390421,0.00011475606511885078,94.0325
nn,MIXED,0.4253297761968282,0.5744034385652882,2.96428042092782e-05,44.49
nw,CPU,0.7833093748001116,0.024821489289357363,0.19221925592763286,5.3165
particlefilter,GPU,0.03132574408693554,0.968536408854376,0.0008041078423489138,92.25200000000001
pathfinder,CPU,0.8603566124641677,0.13069824833514918,0.009045611104657188,11.926
srad,GPU,0.24191184313973377,0.755978460553815,0.0020543859163943945,72.9305
stencil1d,GPU,0.060863077916168434,0.9207663573159505,0.018317654155070424,88.1985
stencil3d,MIXED,0.500150128385654,0.4291756398575333,0.0715025262983517,43.2355
streamcluster,CPU,0.8235777228105435,0.09122091675040582,0.08520136043905079,15.989
triad,CPU,0.8867380560131796,0.11326194398682043,0.0,62.035
