experiment_ts,governor,benchmark,size,run,avg_launch_time_sec,bus_width_bits,cgroup_mem_anon_bytes_avg,cgroup_mem_anon_bytes_max,cgroup_mem_anon_bytes_min,cgroup_mem_direct_reclaim_steal_avg,cgroup_mem_direct_reclaim_steal_max,cgroup_mem_direct_reclaim_steal_min,cgroup_mem_file_bytes_avg,cgroup_mem_file_bytes_max,cgroup_mem_file_bytes_min,cgroup_mem_kernel_bytes_avg,cgroup_mem_kernel_bytes_max,cgroup_mem_kernel_bytes_min,cgroup_mem_kswapd_steal_avg,cgroup_mem_kswapd_steal_max,cgroup_mem_kswapd_steal_min,cgroup_mem_slab_bytes_avg,cgroup_mem_slab_bytes_max,cgroup_mem_slab_bytes_min,completed_launches,cpu_active_pct_avg,cpu_active_pct_max,cpu_active_pct_min,cpu_active_pct_samples,cpu_ctxt_switch_rate_avg,cpu_ctxt_switch_rate_max,cpu_ctxt_switch_rate_min,cpu_ctxt_switch_rate_samples,cpu_freq_mhz_avg,cpu_freq_mhz_max,cpu_freq_mhz_min,cpu_freq_mhz_samples,cpu_iowait_pct_avg,cpu_iowait_pct_max,cpu_iowait_pct_min,cpu_iowait_pct_samples,cpu_procs_blocked_avg,cpu_procs_blocked_max,cpu_procs_blocked_min,cpu_procs_blocked_samples,cpu_procs_running_avg,cpu_procs_running_max,cpu_procs_running_min,cpu_procs_running_samples,cpu_system_pct_avg,cpu_system_pct_max,cpu_system_pct_min,cpu_system_pct_samples,cpu_temp_c_avg,cpu_temp_c_max,cpu_temp_c_min,cpu_temp_c_samples,cpu_user_pct_avg,cpu_user_pct_max,cpu_user_pct_min,cpu_user_pct_samples,dram_active_pct_avg,dram_active_pct_max,dram_active_pct_min,dram_active_pct_samples,dram_bandwidth_gbps,dram_type,duration_actual_sec,duration_target_sec,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_c_min,gpu_temp_c_samples,interconnect,interconnect_gen_max,interconnect_width_max,launch_time_stdev_sec,loadavg_15min_avg,loadavg_15min_max,loadavg_15min_min,loadavg_15min_samples,loadavg_1min_avg,loadavg_1min_max,loadavg_1min_min,loadavg_1min_samples,loadavg_5min_avg,loadavg_5min_max,loadavg_5min_min,loadavg_5min_samples,max_launch_time_sec,mem_clock_mhz_est,min_launch_time_sec,parallel,pcie_gen_avg,pcie_gen_max,pcie_gen_max_avg,pcie_gen_max_max,pcie_gen_max_min,pcie_gen_max_samples,pcie_gen_min,pcie_gen_samples,pcie_samples,pcie_width_avg,pcie_width_max,pcie_width_max_avg,pcie_width_max_max,pcie_width_max_min,pcie_width_max_samples,pcie_width_min,pcie_width_samples,peak_power_w,power_draw_w_avg,power_draw_w_max,power_draw_w_min,power_draw_w_samples,sm_active_pct_avg,sm_active_pct_max,sm_active_pct_min,sm_active_pct_samples,sm_clock_mhz_avg,sm_clock_mhz_max,sm_clock_mhz_min,sm_clock_mhz_samples,sys_mem_avail_gb_avg,sys_mem_avail_gb_max,sys_mem_avail_gb_min,sys_mem_avail_gb_samples,sys_mem_free_gb_avg,sys_mem_free_gb_max,sys_mem_free_gb_min,sys_mem_free_gb_samples,sys_mem_pressure_full_avg,sys_mem_pressure_full_max,sys_mem_pressure_full_min,sys_mem_pressure_full_samples,sys_mem_pressure_some_avg,sys_mem_pressure_some_max,sys_mem_pressure_some_min,sys_mem_pressure_some_samples,sys_mem_total_gb_avg,sys_mem_total_gb_max,sys_mem_total_gb_min,sys_mem_total_gb_samples,sys_mem_used_gb_avg,sys_mem_used_gb_max,sys_mem_used_gb_min,sys_mem_used_gb_samples,sys_mem_used_pct_avg,sys_mem_used_pct_max,sys_mem_used_pct_min,sys_mem_used_pct_samples,sys_swap_total_gb_avg,sys_swap_total_gb_max,sys_swap_total_gb_min,sys_swap_total_gb_samples,sys_swap_used_gb_avg,sys_swap_used_gb_max,sys_swap_used_gb_min,sys_swap_used_gb_samples,total_launches,video_clock_mhz_avg,video_clock_mhz_max,video_clock_mhz_min,video_clock_mhz_samples,vmstat_pgfault_rate_avg,vmstat_pgfault_rate_max,vmstat_pgfault_rate_samples,vmstat_pgmajfault_rate_avg,vmstat_pgmajfault_rate_max,vmstat_pgmajfault_rate_samples,vmstat_pgscan_rate_avg,vmstat_pgscan_rate_max,vmstat_pgscan_rate_samples,vmstat_pgsteal_rate_avg,vmstat_pgsteal_rate_max,vmstat_pgsteal_rate_samples,vmstat_pswpin_rate_avg,vmstat_pswpin_rate_max,vmstat_pswpin_rate_samples,vmstat_pswpout_rate_avg,vmstat_pswpout_rate_max,vmstat_pswpout_rate_samples
20260707_195743,default,cfd-cuda,large,1,1.6775,256,5434753531.769,5479981056,5383565312,125177154.0,125177154,125177154,34112004468.364,34124046336,34079678464,1513900725.95,1515790336,1512562688,99009109.0,99009109,99009109,4758305428.959,4759445264,4757192224,71,10.83,13.5,8.9,120,6671.1,10788,5982,120,3354.0,3354.0,3354.0,121,0.026,0.2,0.0,120,0.008,1,0,121,3.413,10,2,121,6.954,8.6,5.1,120,67.26,71.7,59.1,121,3.851,6.4,2.6,120,0.0,0.0,0.0,1204,N/A,LPDDR5X (unified),120.566,120,57.878,67.0,47.0,1204,NVLink-C2C,5,16,0.0483,1.595,1.68,1.54,121,2.119,2.82,1.74,121,1.801,2.01,1.67,121,1.7709,N/A,1.5525,1,1.0,1.0,5.0,5.0,5.0,1204,1.0,1204,2,1.0,1.0,16.0,16.0,16.0,1204,1.0,1204,45.78,32.39,45.78,11.87,1204,36.148,96.0,0.0,1204,2442.521,2509.0,2411.0,1204,112.504,112.74,112.22,121,81.453,81.69,81.17,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.186,9.47,8.95,121,7.55,7.8,7.4,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2113.787,2197.0,2067.0,1204,16745.3,57062,241,0.5,44,241,0.0,0,241,0.0,0,241,0.6,54,241,0.0,0,241
20260707_200015,default,cfd-cuda,large,2,1.6738,256,5431262554.975,5449601024,5371559936,125177154.0,125177154,125177154,34110758607.339,34124210176,34079956992,1513711802.182,1515044864,1512382464,99009109.0,99009109,99009109,4758300836.165,4759706584,4757293944,71,10.664,12.4,6.0,121,6313.653,8180,4981,121,3354.0,3354.0,3354.0,121,0.022,0.2,0.0,121,0.0,0,0,121,3.223,6,2,121,6.889,8.2,4.5,121,71.864,75.5,65.0,121,3.755,6.1,1.5,121,0.0,0.0,0.0,1203,N/A,LPDDR5X (unified),120.823,120,61.812,70.0,52.0,1203,NVLink-C2C,5,16,0.048,1.712,1.76,1.66,121,2.291,2.46,2.11,121,2.017,2.11,1.93,121,1.7777,N/A,1.5586,1,1.0,1.0,5.0,5.0,5.0,1203,1.0,1203,2,1.0,1.0,16.0,16.0,16.0,1203,1.0,1203,46.59,33.348,46.59,6.47,1203,35.288,96.0,0.0,1203,2425.752,2509.0,208.0,1203,112.51,112.78,112.36,121,81.458,81.72,81.31,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.18,9.33,8.91,121,7.542,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2102.963,2177.0,598.0,1203,16635.4,48324,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_200248,default,cfd-cuda,large,3,1.6989,256,5429549546.843,5446508544,5368143872,125177154.0,125177154,125177154,34113616667.504,34124427264,34079645696,1513233619.57,1514827776,1512046592,99009109.0,99009109,99009109,4758126168.926,4759558328,4757021832,70,10.685,13.2,6.0,121,6382.405,7590,5033,121,3354.0,3354.0,3354.0,121,0.023,0.2,0.0,121,0.017,2,0,121,3.289,7,2,121,6.917,8.4,4.5,121,74.249,78.5,67.9,121,3.744,6.9,1.5,121,0.0,0.0,0.0,1203,N/A,LPDDR5X (unified),120.717,120,63.992,72.0,54.0,1203,NVLink-C2C,5,16,0.0563,1.783,1.81,1.75,121,2.132,2.28,1.99,121,2.065,2.1,2.03,121,1.8353,N/A,1.5966,1,1.0,1.0,5.0,5.0,5.0,1203,1.0,1203,2,1.0,1.0,16.0,16.0,16.0,1203,1.0,1203,47.25,33.5,47.25,7.18,1203,35.774,96.0,0.0,1203,2425.755,2496.0,208.0,1203,112.496,112.78,112.33,121,81.443,81.72,81.28,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.194,9.36,8.91,121,7.556,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,71,2102.268,2177.0,598.0,1203,16406.5,48327,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_200521,default,cfd-cuda,large,4,1.6923,256,5429070044.033,5446758400,5367660544,125177154.0,125177154,125177154,34113087877.289,34124644352,34080399360,1513281959.14,1514676224,1511960576,99009109.0,99009109,99009109,4758354428.826,4759545816,4757339416,70,10.713,16.3,6.0,121,6329.388,8783,5022,121,3354.0,3354.0,3354.0,121,0.022,0.2,0.0,121,0.0,0,0,121,3.19,5,2,121,6.938,8.4,4.5,121,76.208,86.5,70.2,121,3.756,8.2,1.4,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.866,120,65.05,72.0,56.0,1202,NVLink-C2C,5,16,0.0547,1.817,1.85,1.79,121,2.01,2.25,1.71,121,2.024,2.07,1.98,121,1.8333,N/A,1.5713,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,47.3,33.999,47.3,5.74,1202,36.845,96.0,0.0,1202,2426.304,2489.0,208.0,1202,112.495,112.76,112.31,121,81.443,81.71,81.26,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.195,9.38,8.93,121,7.555,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,71,2102.849,2177.0,598.0,1202,16429.1,48304,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_200753,default,cfd-cuda,large,5,1.6833,256,5429015272.727,5446873088,5367828480,125177154.0,125177154,125177154,34113163094.744,34124853248,34080616448,1513289440.264,1515089920,1511682048,99009109.0,99009109,99009109,4758466798.942,4760037312,4757216456,71,10.688,13.6,5.9,121,6328.124,7808,4946,121,3354.0,3354.0,3354.0,121,0.023,0.2,0.0,121,0.017,2,0,121,3.314,5,2,121,6.917,8.3,4.5,121,74.371,77.1,68.0,121,3.746,5.6,1.4,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.766,120,62.52,69.0,54.0,1202,NVLink-C2C,5,16,0.047,1.866,1.89,1.82,121,2.148,2.37,1.79,121,2.064,2.11,1.98,121,1.7974,N/A,1.5994,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,46.6,33.595,46.6,6.99,1202,36.094,96.0,0.0,1202,2428.463,2489.0,208.0,1202,112.502,112.78,112.34,121,81.45,81.72,81.29,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.188,9.35,8.91,121,7.549,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2104.826,2177.0,591.0,1202,16553.0,48300,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_201025,default,cfd-cuda,large,6,1.669,256,5430075019.636,5447077888,5369389056,125177154.0,125177154,125177154,34112011780.231,34125082624,34080833536,1513422983.405,1515204608,1512267776,99009109.0,99009109,99009109,4758566099.174,4760058808,4757347792,71,10.658,15.1,5.9,121,6355.678,8701,5014,121,3354.0,3354.0,3354.0,121,0.018,0.2,0.0,121,0.041,2,0,121,3.14,10,2,121,6.873,8.4,4.5,121,74.055,76.7,68.2,121,3.776,6.8,1.5,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.682,120,61.671,69.0,53.0,1202,NVLink-C2C,5,16,0.047,1.913,1.94,1.87,121,2.197,2.54,1.83,121,2.091,2.16,2.01,121,1.8403,N/A,1.5752,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,46.72,33.331,46.72,6.71,1202,35.606,96.0,0.0,1202,2426.596,2496.0,208.0,1202,112.504,112.77,112.28,121,81.451,81.72,81.23,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.186,9.41,8.92,121,7.55,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2104.328,2177.0,598.0,1202,16651.1,48299,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_201258,default,cfd-cuda,large,7,1.6826,256,5429211745.322,5446287360,5368868864,125177154.0,125177154,125177154,34113788597.95,34125320192,34080747520,1513492480.0,1514979328,1512140800,99009109.0,99009109,99009109,4758714437.355,4760205296,4757516672,71,10.664,13.4,5.9,121,6362.38,10249,5003,121,3354.0,3354.0,3354.0,121,0.024,0.2,0.0,121,0.0,0,0,121,3.149,5,2,121,6.896,8.3,4.5,121,72.211,78.9,68.0,121,3.745,6.5,1.4,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.519,120,61.184,69.0,52.0,1202,NVLink-C2C,5,16,0.0543,1.922,1.94,1.91,121,1.946,2.12,1.76,121,2.037,2.06,2.02,121,1.804,N/A,1.5628,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,46.64,33.021,46.64,5.51,1202,34.735,96.0,0.0,1202,2415.425,2502.0,208.0,1202,112.503,112.78,112.27,121,81.45,81.72,81.22,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.187,9.42,8.91,121,7.55,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2097.117,2177.0,598.0,1202,16617.9,48370,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_201530,default,cfd-cuda,large,8,1.6755,256,5429006539.107,5447188480,5369434112,125177154.0,125177154,125177154,34114023525.554,34125533184,34081292288,1513449184.264,1514655744,1511600128,99009109.0,99009109,99009109,4758817526.347,4760108840,4757258352,71,10.677,13.0,6.0,121,6316.57,7586,5151,121,3354.0,3354.0,3354.0,121,0.023,0.2,0.0,121,0.0,0,0,121,3.091,5,2,121,6.92,8.4,4.5,121,71.215,77.3,65.5,121,3.732,6.1,1.5,121,0.0,0.0,0.0,1203,N/A,LPDDR5X (unified),120.823,120,61.016,68.0,52.0,1203,NVLink-C2C,5,16,0.0524,1.953,1.99,1.93,121,2.134,2.44,1.97,121,2.063,2.15,2.03,121,1.7802,N/A,1.5703,1,1.0,1.0,5.0,5.0,5.0,1203,1.0,1203,2,1.0,1.0,16.0,16.0,16.0,1203,1.0,1203,46.88,33.172,46.88,5.57,1203,35.746,96.0,0.0,1203,2421.315,2502.0,208.0,1203,112.512,112.8,112.38,121,81.459,81.75,81.33,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.178,9.31,8.89,121,7.545,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2101.192,2184.0,598.0,1203,16620.3,49259,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_201803,default,cfd-cuda,large,9,1.6806,256,5430027153.983,5447077888,5367861248,125177154.0,125177154,125177154,34114015265.851,34125746176,34081509376,1513495188.099,1515679744,1511837696,99009109.0,99009109,99009109,4758886541.554,4760732464,4757566312,71,10.631,13.4,5.9,121,6299.562,7835,4934,121,3354.0,3354.0,3354.0,121,0.019,0.2,0.0,121,0.017,2,0,121,3.306,7,2,121,6.902,8.4,4.5,121,71.131,76.4,65.4,121,3.706,5.9,1.4,121,0.0,0.0,0.0,1203,N/A,LPDDR5X (unified),120.765,120,61.061,68.0,53.0,1203,NVLink-C2C,5,16,0.0507,1.98,1.99,1.97,121,2.036,2.09,2.01,121,2.064,2.08,2.05,121,1.7847,N/A,1.5467,1,1.0,1.0,5.0,5.0,5.0,1203,1.0,1203,2,1.0,1.0,16.0,16.0,16.0,1203,1.0,1203,46.38,33.072,46.38,6.62,1203,35.353,96.0,0.0,1203,2423.539,2509.0,643.0,1203,112.51,112.79,112.32,121,81.456,81.73,81.26,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.18,9.37,8.9,121,7.55,7.7,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2102.027,2177.0,890.0,1203,16618.9,48304,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260707_202036,default,cfd-cuda,large,10,1.6666,256,5427230330.711,5446168576,5368094720,125177154.0,125177154,125177154,34114209368.86,34125991936,34081738752,1513638040.331,1514885120,1510055936,99009109.0,99009109,99009109,4759128240.264,4760482952,4757044432,71,10.683,17.7,6.0,121,6465.446,14732,4975,121,3354.0,3354.0,3354.0,121,0.018,0.2,0.0,121,0.0,0,0,121,3.14,6,2,121,6.918,12.6,4.5,121,70.804,73.4,65.1,121,3.742,6.2,1.4,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.772,120,61.061,68.0,52.0,1202,NVLink-C2C,5,16,0.0532,1.967,1.97,1.96,121,1.869,1.96,1.7,121,1.975,1.98,1.97,121,1.8109,N/A,1.5453,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,46.45,33.445,46.45,6.66,1202,34.992,96.0,0.0,1202,2427.213,2502.0,208.0,1202,112.509,112.79,112.39,121,81.455,81.73,81.33,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,9.181,9.3,8.9,121,7.543,7.6,7.3,121,16.0,16.0,16.0,121,2.22,2.22,2.22,121,72,2104.647,2177.0,598.0,1202,17426.7,88144,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
