experiment_ts,cpu_governor,governor,benchmark,size,run,avg_cpu_time_sec,avg_gpu_memcpy_sec,avg_gpu_time_sec,avg_launch_time_sec,bus_width_bits,cgroup_mem_anon_bytes_avg,cgroup_mem_anon_bytes_max,cgroup_mem_anon_bytes_min,cgroup_mem_direct_reclaim_steal_avg,cgroup_mem_direct_reclaim_steal_max,cgroup_mem_direct_reclaim_steal_min,cgroup_mem_file_bytes_avg,cgroup_mem_file_bytes_max,cgroup_mem_file_bytes_min,cgroup_mem_kernel_bytes_avg,cgroup_mem_kernel_bytes_max,cgroup_mem_kernel_bytes_min,cgroup_mem_kswapd_steal_avg,cgroup_mem_kswapd_steal_max,cgroup_mem_kswapd_steal_min,cgroup_mem_slab_bytes_avg,cgroup_mem_slab_bytes_max,cgroup_mem_slab_bytes_min,completed_launches,cpu_active_pct_avg,cpu_active_pct_max,cpu_active_pct_min,cpu_active_pct_samples,cpu_ctxt_switch_rate_avg,cpu_ctxt_switch_rate_max,cpu_ctxt_switch_rate_min,cpu_ctxt_switch_rate_samples,cpu_freq_mhz_avg,cpu_freq_mhz_max,cpu_freq_mhz_min,cpu_freq_mhz_samples,cpu_iowait_pct_avg,cpu_iowait_pct_max,cpu_iowait_pct_min,cpu_iowait_pct_samples,cpu_procs_blocked_avg,cpu_procs_blocked_max,cpu_procs_blocked_min,cpu_procs_blocked_samples,cpu_procs_running_avg,cpu_procs_running_max,cpu_procs_running_min,cpu_procs_running_samples,cpu_system_pct_avg,cpu_system_pct_max,cpu_system_pct_min,cpu_system_pct_samples,cpu_temp_c_avg,cpu_temp_c_max,cpu_temp_c_min,cpu_temp_c_samples,cpu_user_pct_avg,cpu_user_pct_max,cpu_user_pct_min,cpu_user_pct_samples,dram_active_pct_avg,dram_active_pct_max,dram_active_pct_min,dram_active_pct_samples,dram_bandwidth_gbps,dram_type,duration_actual_sec,duration_target_sec,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_c_min,gpu_temp_c_samples,interconnect,interconnect_gen_max,interconnect_width_max,killed_launches,launch_time_stdev_sec,loadavg_15min_avg,loadavg_15min_max,loadavg_15min_min,loadavg_15min_samples,loadavg_1min_avg,loadavg_1min_max,loadavg_1min_min,loadavg_1min_samples,loadavg_5min_avg,loadavg_5min_max,loadavg_5min_min,loadavg_5min_samples,max_gpu_time_sec,max_launch_time_sec,mem_clock_mhz_est,min_gpu_time_sec,min_launch_time_sec,parallel,pcie_gen_avg,pcie_gen_max,pcie_gen_max_avg,pcie_gen_max_max,pcie_gen_max_min,pcie_gen_max_samples,pcie_gen_min,pcie_gen_samples,pcie_samples,pcie_width_avg,pcie_width_max,pcie_width_max_avg,pcie_width_max_max,pcie_width_max_min,pcie_width_max_samples,pcie_width_min,pcie_width_samples,peak_power_w,power_draw_w_avg,power_draw_w_max,power_draw_w_min,power_draw_w_samples,sm_active_pct_avg,sm_active_pct_max,sm_active_pct_min,sm_active_pct_samples,sm_clock_mhz_avg,sm_clock_mhz_max,sm_clock_mhz_min,sm_clock_mhz_samples,sys_mem_avail_gb_avg,sys_mem_avail_gb_max,sys_mem_avail_gb_min,sys_mem_avail_gb_samples,sys_mem_free_gb_avg,sys_mem_free_gb_max,sys_mem_free_gb_min,sys_mem_free_gb_samples,sys_mem_pressure_full_avg,sys_mem_pressure_full_max,sys_mem_pressure_full_min,sys_mem_pressure_full_samples,sys_mem_pressure_some_avg,sys_mem_pressure_some_max,sys_mem_pressure_some_min,sys_mem_pressure_some_samples,sys_mem_total_gb_avg,sys_mem_total_gb_max,sys_mem_total_gb_min,sys_mem_total_gb_samples,sys_mem_used_gb_avg,sys_mem_used_gb_max,sys_mem_used_gb_min,sys_mem_used_gb_samples,sys_mem_used_pct_avg,sys_mem_used_pct_max,sys_mem_used_pct_min,sys_mem_used_pct_samples,sys_swap_total_gb_avg,sys_swap_total_gb_max,sys_swap_total_gb_min,sys_swap_total_gb_samples,sys_swap_used_gb_avg,sys_swap_used_gb_max,sys_swap_used_gb_min,sys_swap_used_gb_samples,total_launches,video_clock_mhz_avg,video_clock_mhz_max,video_clock_mhz_min,video_clock_mhz_samples,vmstat_pgfault_rate_avg,vmstat_pgfault_rate_max,vmstat_pgfault_rate_samples,vmstat_pgmajfault_rate_avg,vmstat_pgmajfault_rate_max,vmstat_pgmajfault_rate_samples,vmstat_pgscan_rate_avg,vmstat_pgscan_rate_max,vmstat_pgscan_rate_samples,vmstat_pgsteal_rate_avg,vmstat_pgsteal_rate_max,vmstat_pgsteal_rate_samples,vmstat_pswpin_rate_avg,vmstat_pswpin_rate_max,vmstat_pswpin_rate_samples,vmstat_pswpout_rate_avg,vmstat_pswpout_rate_max,vmstat_pswpout_rate_samples
20260720_191752,cpu_performance,gpu_default,cfd-cuda,large,1,1.0239,0.0094,0.628,1.6432,256,1909437126.876,3348828160,1409830912,0.0,0,0,4944005170.777,5121523712,4871766016,673307148.694,698318848,659828736,0.0,0,0,623674552.926,631706488,619211912,73,6.759,13.7,3.6,120,9070.8,21512,6333,120,3354.0,3354.0,3354.0,121,0.027,0.2,0.0,120,0.041,2,0,121,2.306,5,1,121,2.158,4.6,1.0,120,52.815,56.8,42.1,121,4.603,10.3,2.6,120,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),121.011,120,50.824,57.0,40.0,1201,NVLink-C2C,5,16,1,0.1653,0.515,0.56,0.45,121,1.088,1.27,0.72,121,0.602,0.71,0.43,121,0.688,1.8575,N/A,0.5596,0.342,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,44.91,29.154,44.91,10.19,1201,39.866,93.0,0.0,1201,2432.411,2528.0,2398.0,1201,117.238,118.06,115.39,121,113.272,114.1,111.33,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,4.452,6.3,3.63,121,3.656,5.2,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,73,2096.852,2223.0,2060.0,1201,17333.6,67866,240,0.0,2,240,0.0,0,240,0.0,0,240,0.0,0,240,0.0,0,240
20260720_192024,cpu_performance,gpu_default,cfd-cuda,large,2,1.0118,0.0093,0.6166,1.621,256,1439935868.826,1456009216,1380315136,0.0,0,0,4903032645.818,4916457472,4872065024,660492423.405,661172224,659689472,0.0,0,0,619597236.231,619852336,619299184,74,5.785,6.5,0.9,121,6638.008,6915,5296,121,3354.0,3354.0,3354.0,121,0.02,0.2,0.0,121,0.0,0,0,121,2.273,4,1,121,1.836,2.6,0.6,121,55.539,59.5,46.9,121,3.957,5.2,0.3,121,0.0,0.0,0.0,1200,N/A,LPDDR5X (unified),120.257,120,53.437,59.0,45.0,1200,NVLink-C2C,5,16,1,0.1499,0.6,0.66,0.55,121,1.112,1.5,0.74,121,0.793,0.93,0.66,121,0.6693,1.7168,N/A,0.5723,0.4048,1,1.0,1.0,5.0,5.0,5.0,1200,1.0,1200,2,1.0,1.0,16.0,16.0,16.0,1200,1.0,1200,37.97,27.574,37.97,4.68,1200,38.656,93.0,0.0,1200,2380.532,2411.0,208.0,1200,117.819,118.09,117.68,121,113.864,114.14,113.72,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.871,4.01,3.6,121,3.18,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2051.098,2073.0,598.0,1200,16803.0,48213,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_192256,cpu_performance,gpu_default,cfd-cuda,large,3,1.0188,0.0093,0.6193,1.6432,256,1440459310.545,1456386048,1378746368,0.0,0,0,4905960744.198,4916801536,4872458240,660820171.107,661929984,657772544,0.0,0,0,619895810.843,620475736,618477664,73,5.798,8.8,0.9,121,6670.76,12487,5268,121,3354.0,3354.0,3354.0,121,0.019,0.2,0.0,121,0.0,0,0,121,2.182,4,1,121,1.86,4.6,0.6,121,57.625,61.7,49.1,121,3.943,5.1,0.3,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),121.074,120,55.193,61.0,47.0,1202,NVLink-C2C,5,16,1,0.0545,0.684,0.73,0.64,121,1.137,1.29,0.88,121,0.935,1.01,0.85,121,0.6704,1.7399,N/A,0.5509,1.3411,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.31,27.861,38.31,4.77,1202,38.468,93.0,0.0,1202,2379.399,2411.0,208.0,1202,117.81,118.08,117.68,121,113.856,114.13,113.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.88,4.01,3.61,121,3.188,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,73,2050.74,2080.0,598.0,1202,17457.0,172746,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260720_192529,cpu_performance,gpu_default,cfd-cuda,large,4,1.0125,0.0093,0.6155,1.6209,256,1438321435.504,1452785664,1374253056,0.0,0,0,4905448744.198,4917174272,4870983680,661039459.438,661614592,660074496,0.0,0,0,620101702.678,620352888,619820624,74,5.764,6.4,0.9,121,6630.57,6899,5350,121,3354.0,3354.0,3354.0,121,0.019,0.2,0.0,121,0.0,0,0,121,2.116,4,1,121,1.826,2.7,0.6,121,58.821,62.3,50.3,121,3.952,5.1,0.2,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),121.266,120,56.296,62.0,48.0,1202,NVLink-C2C,5,16,1,0.148,0.734,0.76,0.71,121,0.951,1.07,0.76,121,0.945,0.97,0.91,121,0.6668,1.7371,N/A,0.5599,0.4266,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.44,28.259,38.44,4.83,1202,38.587,93.0,0.0,1202,2380.651,2411.0,208.0,1202,117.815,118.1,117.69,121,113.861,114.15,113.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.875,4.0,3.59,121,3.181,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2053.061,2080.0,598.0,1202,16796.1,48215,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_192802,cpu_performance,gpu_default,cfd-cuda,large,5,1.0118,0.0093,0.6139,1.6209,256,1437545260.43,1452871680,1374289920,0.0,0,0,4904671282.777,4917522432,4873158656,660977951.736,661737472,660103168,0.0,0,0,620057059.174,620409512,619783720,74,5.774,6.4,0.9,121,6669.57,6892,5317,121,3354.0,3354.0,3354.0,121,0.02,0.2,0.0,121,0.0,0,0,121,2.223,4,1,121,1.837,2.7,0.6,121,59.624,62.9,51.2,121,3.943,5.2,0.3,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),121.169,120,57.111,63.0,49.0,1202,NVLink-C2C,5,16,1,0.1265,0.773,0.81,0.74,121,1.02,1.21,0.7,121,0.964,1.02,0.9,121,0.666,1.7204,N/A,0.5536,0.5964,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.71,28.422,38.71,4.91,1202,38.254,93.0,0.0,1202,2381.349,2411.0,208.0,1202,117.821,118.09,117.68,121,113.867,114.14,113.72,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.869,4.01,3.6,121,3.174,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2053.87,2080.0,598.0,1202,16926.0,48223,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
20260720_193033,cpu_performance,gpu_default,cfd-cuda,large,6,1.0099,0.0094,0.6194,1.621,256,1442621389.223,1559498752,1375621120,0.0,0,0,4905289135.603,4917997568,4810608640,661190842.182,665255936,659759104,0.0,0,0,620184451.967,621556456,618611016,74,6.263,11.4,0.9,121,6985.612,18618,5304,121,3354.0,3354.0,3354.0,121,0.026,0.2,0.0,121,0.0,0,0,121,2.322,5,1,121,1.964,5.3,0.6,121,60.436,65.2,51.8,121,4.306,10.0,0.3,121,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),120.21,120,57.657,64.0,49.0,1201,NVLink-C2C,5,16,1,0.1618,0.825,0.87,0.78,121,1.122,1.38,0.69,121,1.012,1.1,0.92,121,0.7622,1.8636,N/A,0.562,0.3297,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,38.76,28.57,38.76,4.93,1201,39.112,93.0,0.0,1201,2377.754,2411.0,208.0,1201,117.815,118.09,117.57,121,113.86,114.14,113.61,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.875,4.12,3.6,121,3.177,3.4,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2051.993,2080.0,598.0,1201,21235.0,143706,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_193306,cpu_performance,gpu_default,cfd-cuda,large,7,0.991,0.0093,0.6196,1.5993,256,1443108643.967,1462554624,1380331520,0.0,0,0,4905633571.967,4918329344,4873994240,661577457.19,662228992,660594688,0.0,0,0,620529168.727,620808928,620225664,75,5.863,10.9,3.4,121,6734.95,13515,6181,121,3354.0,3354.0,3354.0,121,0.019,0.2,0.0,121,0.0,0,0,121,2.223,5,1,121,1.817,3.0,0.9,121,60.965,65.0,53.3,121,4.06,8.1,1.3,121,0.0,0.0,0.0,1201,N/A,LPDDR5X (unified),121.007,120,58.611,64.0,51.0,1201,NVLink-C2C,5,16,1,0.1828,0.898,0.92,0.87,121,1.192,1.33,1.09,121,1.103,1.14,1.07,121,0.6577,1.7004,N/A,0.5585,0.0779,1,1.0,1.0,5.0,5.0,5.0,1201,1.0,1201,2,1.0,1.0,16.0,16.0,16.0,1201,1.0,1201,39.02,28.868,39.02,4.87,1201,39.405,93.0,0.0,1201,2380.234,2411.0,208.0,1201,117.798,118.03,117.68,121,113.842,114.08,113.72,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.892,4.01,3.66,121,3.203,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,75,2054.489,2080.0,598.0,1201,17642.6,101017,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_193539,cpu_performance,gpu_default,cfd-cuda,large,8,0.9961,0.0094,0.6241,1.621,256,1444181931.372,1457762304,1381470208,0.0,0,0,4907759734.479,4918693888,4874305536,661625322.843,662237184,660516864,0.0,0,0,620576858.314,620853640,620178960,74,5.798,6.5,0.9,121,6659.612,6926,5305,121,3354.0,3354.0,3354.0,121,0.023,0.2,0.0,121,0.0,0,0,121,2.38,5,1,121,1.804,2.6,0.6,121,61.174,64.8,52.7,121,4.004,5.1,0.3,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),121.175,120,58.486,64.0,50.0,1202,NVLink-C2C,5,16,1,0.0866,0.92,0.94,0.9,121,1.026,1.12,0.84,121,1.065,1.08,1.04,121,0.679,1.7484,N/A,0.5629,0.9945,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.94,28.787,38.94,4.95,1202,38.754,93.0,0.0,1202,2378.28,2411.0,208.0,1202,117.818,118.08,117.69,121,113.862,114.12,113.74,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.872,4.0,3.61,121,3.176,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,74,2053.097,2080.0,598.0,1202,16990.8,49254,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_193811,cpu_performance,gpu_default,cfd-cuda,large,9,1.0241,0.0094,0.62,1.6432,256,1437194832.397,1453158400,1374900224,0.0,0,0,4905234228.893,4919087104,4874723328,661098834.512,661803008,660103168,0.0,0,0,620404106.38,620720856,620086520,73,5.745,6.4,0.9,121,6645.066,6887,5318,121,3354.0,3354.0,3354.0,121,0.018,0.2,0.0,121,0.0,0,0,121,2.207,4,1,121,1.833,2.6,0.6,121,61.274,64.8,53.0,121,3.922,5.1,0.3,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),120.974,120,58.465,64.0,50.0,1202,NVLink-C2C,5,16,1,0.1001,0.917,0.93,0.91,121,0.909,1.0,0.74,121,1.0,1.01,0.99,121,0.8202,1.9001,N/A,0.5666,0.9058,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.86,28.421,38.86,4.94,1202,37.835,93.0,0.0,1202,2371.123,2411.0,208.0,1202,117.827,118.09,117.69,121,113.871,114.14,113.73,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.863,4.0,3.6,121,3.173,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,73,2048.225,2080.0,598.0,1202,16776.7,48201,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241,0.0,0,241
20260720_194044,cpu_performance,gpu_default,cfd-cuda,large,10,1.0226,0.0093,0.6181,1.6433,256,1438187249.19,1453568000,1375256576,0.0,0,0,4906882851.967,4919472128,4875112448,661139388.298,661864448,660099072,0.0,0,0,620495300.496,620880928,620196944,73,5.745,6.5,0.9,121,6620.281,6916,5302,121,3354.0,3354.0,3354.0,121,0.023,0.2,0.0,121,0.0,0,0,121,2.231,5,1,121,1.817,2.7,0.6,121,61.298,64.2,53.2,121,3.931,5.1,0.3,121,0.0,0.0,0.0,1202,N/A,LPDDR5X (unified),121.02,120,58.52,64.0,50.0,1202,NVLink-C2C,5,16,1,0.0689,0.919,0.93,0.9,121,0.954,1.07,0.69,121,0.969,1.0,0.93,121,0.6764,1.7261,N/A,0.5635,1.1627,1,1.0,1.0,5.0,5.0,5.0,1202,1.0,1202,2,1.0,1.0,16.0,16.0,16.0,1202,1.0,1202,38.99,28.667,38.99,5.0,1202,38.501,93.0,0.0,1202,2378.852,2411.0,208.0,1202,117.819,118.08,117.68,121,113.862,114.12,113.72,121,0.0,0.0,0.0,121,0.0,0.0,0.0,121,121.69,121.69,121.69,121,3.871,4.01,3.61,121,3.181,3.3,3.0,121,16.0,16.0,16.0,121,0.0,0,0,121,73,2053.488,2080.0,598.0,1202,16738.2,49684,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242,0.0,0,242
